Date,Close,Open,High,Low
11-Mar-19,3.771,3.8,3.8,3.771
8-Mar-19,3.77,3.79,3.79,3.77
7-Mar-19,3.778,3.78,3.785,3.76
6-Mar-19,3.782,3.795,3.795,3.782
5-Mar-19,3.778,3.792,3.792,3.778
4-Mar-19,3.775,3.795,3.798,3.775
1-Mar-19,3.773,3.78,3.783,3.773
28-Feb-19,3.778,3.78,3.785,3.773
27-Feb-19,3.778,3.788,3.795,3.778
26-Feb-19,3.778,3.758,3.783,3.758
25-Feb-19,3.748,3.753,3.758,3.743
22-Feb-19,3.756,3.798,3.798,3.756
21-Feb-19,3.759,3.758,3.775,3.758
20-Feb-19,3.753,3.767,3.767,3.753
19-Feb-19,3.757,3.78,3.78,3.757
18-Feb-19,3.743,3.74,3.744,3.735
15-Feb-19,3.73,3.73,3.73,3.73
14-Feb-19,3.743,3.755,3.755,3.74
13-Feb-19,3.736,3.76,3.76,3.736
12-Feb-19,3.745,3.765,3.765,3.745
11-Feb-19,3.727,3.77,3.77,3.725
2-Feb-19,3.75,3.75,3.75,3.75
1-Feb-19,3.758,3.768,3.768,3.753
31-Jan-19,3.756,3.77,3.77,3.756
30-Jan-19,3.757,3.784,3.784,3.757
29-Jan-19,3.78,3.785,3.802,3.78
28-Jan-19,3.783,3.803,3.803,3.783
25-Jan-19,3.77,3.767,3.775,3.767
24-Jan-19,3.757,3.758,3.759,3.757
23-Jan-19,3.753,3.735,3.753,3.735
22-Jan-19,3.74,3.74,3.74,3.74
21-Jan-19,3.72,3.72,3.75,3.72
18-Jan-19,3.718,3.723,3.73,3.718
17-Jan-19,3.712,3.759,3.759,3.712
16-Jan-19,3.734,3.752,3.755,3.728
15-Jan-19,3.751,3.753,3.764,3.751
14-Jan-19,3.758,3.765,3.765,3.753
11-Jan-19,3.737,3.75,3.75,3.726
10-Jan-19,3.74,3.725,3.745,3.72
9-Jan-19,3.72,3.725,3.733,3.717
8-Jan-19,3.72,3.733,3.75,3.71
7-Jan-19,3.725,3.75,3.75,3.725
4-Jan-19,3.74,3.712,3.74,3.712
3-Jan-19,3.718,3.723,3.725,3.712
2-Jan-19,3.7,3.72,3.72,3.7
28-Dec-18,3.745,3.77,3.77,3.745
27-Dec-18,3.773,3.79,3.79,3.77
26-Dec-18,3.808,3.808,3.808,3.808
25-Dec-18,3.803,3.807,3.807,3.8
24-Dec-18,3.807,3.83,3.83,3.807
21-Dec-18,3.81,3.82,3.82,3.79
20-Dec-18,3.827,3.84,3.84,3.823
19-Dec-18,3.838,3.87,3.87,3.838
18-Dec-18,3.87,3.86,3.87,3.843
17-Dec-18,3.863,3.88,3.88,3.861
14-Dec-18,3.84,3.805,3.84,3.8
13-Dec-18,3.805,3.79,3.81,3.785
12-Dec-18,3.79,3.807,3.807,3.79
11-Dec-18,3.799,3.815,3.819,3.798
10-Dec-18,3.822,3.81,3.822,3.805
8-Dec-18,3.835,3.835,3.835,3.835
7-Dec-18,3.835,3.859,3.859,3.832
6-Dec-18,3.859,3.85,3.869,3.85
5-Dec-18,3.89,3.91,3.91,3.89
4-Dec-18,3.917,3.92,3.92,3.915
3-Dec-18,3.91,3.91,3.91,3.91
30-Nov-18,3.928,3.948,3.948,3.928
29-Nov-18,3.948,3.959,3.959,3.948
28-Nov-18,3.957,3.96,3.96,3.957
27-Nov-18,3.966,3.961,3.966,3.961
26-Nov-18,3.958,3.97,3.97,3.958
23-Nov-18,3.923,3.92,3.925,3.92
22-Nov-18,3.92,3.933,3.933,3.92
21-Nov-18,3.94,3.95,3.95,3.94
20-Nov-18,3.9,3.9,3.9,3.9
19-Nov-18,3.89,3.89,3.89,3.89
16-Nov-18,3.917,4.02,4.02,3.917
15-Nov-18,4,4.065,4.065,4
14-Nov-18,4.034,4.075,4.075,4.034
13-Nov-18,4.063,4.09,4.09,4.063
12-Nov-18,4.058,4.09,4.09,4.056
9-Nov-18,4.06,4.069,4.071,4.06
8-Nov-18,4.061,4.105,4.113,4.061
7-Nov-18,4.089,4.105,4.113,4.086
6-Nov-18,4.097,4.107,4.107,4.093
5-Nov-18,4.097,4.09,4.107,4.09
4-Nov-18,4.085,4.085,4.085,4.085
3-Nov-18,4.085,4.078,4.085,4.078
2-Nov-18,4.078,4.092,4.092,4.077
1-Nov-18,4.081,4.089,4.092,4.081
31-Oct-18,4.089,4.108,4.109,4.089
30-Oct-18,4.11,4.113,4.113,4.08
29-Oct-18,4.105,4.085,4.115,4.085
26-Oct-18,4.098,4.13,4.13,4.098
25-Oct-18,4.13,4.158,4.158,4.13
24-Oct-18,4.149,4.187,4.187,4.149
23-Oct-18,4.153,4.18,4.18,4.153
22-Oct-18,4.147,4.17,4.17,4.147
19-Oct-18,4.16,4.201,4.215,4.16
18-Oct-18,4.186,4.19,4.198,4.18
17-Oct-18,4.184,4.213,4.213,4.184
16-Oct-18,4.218,4.215,4.218,4.215
15-Oct-18,4.191,4.2,4.201,4.191
12-Oct-18,4.183,4.18,4.183,4.16
11-Oct-18,4.197,4.183,4.206,4.183
10-Oct-18,4.201,4.22,4.22,4.201
9-Oct-18,4.22,4.227,4.23,4.22
8-Oct-18,4.201,4.225,4.225,4.201
30-Sep-18,4.23,4.23,4.23,4.23
29-Sep-18,4.215,4.215,4.215,4.215
28-Sep-18,4.22,4.257,4.257,4.22
27-Sep-18,4.22,4.24,4.24,4.22
26-Sep-18,4.23,4.255,4.255,4.23
25-Sep-18,4.243,4.3,4.3,4.243
22-Sep-18,4.178,4.178,4.178,4.178
21-Sep-18,4.259,4.269,4.271,4.259
20-Sep-18,4.251,4.27,4.27,4.251
19-Sep-18,4.263,4.28,4.28,4.26
18-Sep-18,4.28,4.286,4.286,4.28
17-Sep-18,4.257,4.28,4.28,4.257
14-Sep-18,4.272,4.275,4.284,4.272
13-Sep-18,4.269,4.283,4.285,4.269
12-Sep-18,4.282,4.298,4.298,4.28
11-Sep-18,4.291,4.252,4.297,4.252
10-Sep-18,4.26,4.23,4.26,4.228
7-Sep-18,4.234,4.227,4.238,4.227
6-Sep-18,4.212,4.225,4.225,4.201
5-Sep-18,4.223,4.238,4.238,4.223
4-Sep-18,4.226,4.214,4.226,4.2
3-Sep-18,4.208,4.2,4.218,4.18
31-Aug-18,4.199,4.224,4.229,4.198
30-Aug-18,4.224,4.215,4.224,4.21
29-Aug-18,4.215,4.229,4.229,4.215
28-Aug-18,4.222,4.228,4.229,4.217
27-Aug-18,4.217,4.2,4.227,4.2
24-Aug-18,4.217,4.223,4.225,4.213
23-Aug-18,4.215,4.24,4.24,4.2
22-Aug-18,4.238,4.246,4.246,4.238
21-Aug-18,4.237,4.25,4.25,4.232
20-Aug-18,4.25,4.275,4.278,4.25
17-Aug-18,4.105,4.12,4.12,4.105
16-Aug-18,4.1,4.11,4.11,4.1
15-Aug-18,4.097,4.11,4.11,4.097
14-Aug-18,4.086,4.105,4.105,4.086
13-Aug-18,4.072,4.09,4.09,4.072
10-Aug-18,4.071,4.08,4.082,4.071
9-Aug-18,4.025,4.03,4.03,4.025
8-Aug-18,4.002,4.003,4.003,3.997
7-Aug-18,3.996,4.02,4.02,3.996
6-Aug-18,4,4.02,4.02,4
3-Aug-18,4.003,4.04,4.04,4.003
2-Aug-18,4.009,4.015,4.022,3.98
1-Aug-18,4.016,4.03,4.03,4.016
31-Jul-18,4.035,4.04,4.04,4.035
30-Jul-18,4.023,4.069,4.07,4.023
27-Jul-18,4.065,4.055,4.07,4.05
26-Jul-18,4.021,4.018,4.021,4.018
25-Jul-18,4.01,4.01,4.075,4
24-Jul-18,4.007,3.997,4.007,3.997
23-Jul-18,3.99,3.98,3.99,3.97
20-Jul-18,3.999,3.992,3.999,3.92
19-Jul-18,3.995,4.002,4.002,3.989
18-Jul-18,3.993,4.005,4.005,3.993
17-Jul-18,4,4.011,4.011,4
16-Jul-18,4.002,3.97,4.013,3.97
13-Jul-18,4.03,4.047,4.047,4.03
12-Jul-18,4.04,4.06,4.06,4.04
11-Jul-18,4.05,4.033,4.05,4.033
10-Jul-18,4.04,4.035,4.057,4.035
9-Jul-18,4.015,4.01,4.025,4.01
6-Jul-18,3.993,4,4.007,3.993
5-Jul-18,3.995,4.007,4.007,3.992
4-Jul-18,3.989,4.008,4.008,3.978
3-Jul-18,3.991,3.995,3.998,3.97
2-Jul-18,4.002,4.02,4.02,4.002
29-Jun-18,4.07,4.089,4.09,4.06
28-Jun-18,4.087,4.092,4.096,4.075
27-Jun-18,4.09,4.121,4.121,4.09
26-Jun-18,4.112,4.125,4.128,4.112
25-Jun-18,4.119,4.1,4.119,4.085
22-Jun-18,4.112,4.11,4.115,4.09
21-Jun-18,4.113,4.115,4.115,4.1
20-Jun-18,4.11,4.115,4.123,4.11
19-Jun-18,4.121,4.16,4.16,4.12
15-Jun-18,4.149,4.161,4.161,4.133
14-Jun-18,4.161,4.165,4.168,4.161
13-Jun-18,4.159,4.159,4.159,4.159
12-Jun-18,4.159,4.171,4.171,4.159
11-Jun-18,4.166,4.18,4.181,4.166
8-Jun-18,4.161,4.173,4.173,4.156
7-Jun-18,4.161,4.14,4.161,4.14
6-Jun-18,4.139,4.144,4.147,4.139
5-Jun-18,4.141,4.12,4.148,4.12
4-Jun-18,4.108,4.12,4.121,4.108
1-Jun-18,4.106,4.093,4.106,4.093
31-May-18,4.093,4.093,4.093,4.093
30-May-18,4.1,4.033,4.101,4.033
29-May-18,4.033,4.1,4.1,4.033
28-May-18,4.09,4.1,4.1,4.085
25-May-18,4.121,4.1,4.121,4.1
24-May-18,4.116,4.134,4.134,4.116
23-May-18,4.147,4.146,4.154,4.146
22-May-18,4.152,4.167,4.167,4.152
21-May-18,4.166,4.17,4.173,4.166
20-May-18,4.167,4.167,4.167,4.167
18-May-18,4.167,4.167,4.167,4.167
17-May-18,4.173,4.187,4.187,4.173
16-May-18,4.173,4.157,4.173,4.157
15-May-18,4.162,4.163,4.165,4.16
14-May-18,4.159,4.175,4.175,4.159
11-May-18,4.165,4.165,4.165,4.16
10-May-18,4.165,4.165,4.17,4.165
9-May-18,4.16,4.15,4.16,4.15
8-May-18,4.155,4.129,4.155,4.118
7-May-18,4.131,4.15,4.15,4.131
4-May-18,4.142,4.125,4.147,4.125
3-May-18,4.138,4.133,4.138,4.133
2-May-18,4.13,4.14,4.14,4.127
28-Apr-18,4.103,4.115,4.125,4.103
27-Apr-18,4.115,4.105,4.115,4.103
26-Apr-18,4.1,4.09,4.105,4.09
25-Apr-18,4.075,4.05,4.075,4.05
24-Apr-18,4.06,4.06,4.06,4.05
23-Apr-18,4.043,4.05,4.05,4.03
20-Apr-18,4.03,4.05,4.05,4.03
19-Apr-18,4.008,4,4.02,4
18-Apr-18,4.13,4.13,4.13,4.13
17-Apr-18,4.14,4.138,4.14,4.135
16-Apr-18,4.145,4.17,4.17,4.145
13-Apr-18,4.14,4.16,4.16,4.14
12-Apr-18,4.14,4.16,4.16,4.14
11-Apr-18,4.138,4.16,4.16,4.138
10-Apr-18,4.13,4.18,4.18,4.13
9-Apr-18,4.178,4.21,4.21,4.173
8-Apr-18,4.17,4.17,4.17,4.17
7-Apr-18,4.17,4.17,4.17,4.17
6-Apr-18,4.17,4.17,4.17,4.17
4-Apr-18,4.17,4.17,4.17,4.17
3-Apr-18,4.22,4.25,4.25,4.22
2-Apr-18,4.22,4.25,4.25,4.22
30-Mar-18,4.194,4.232,4.232,4.194
29-Mar-18,4.205,4.28,4.28,4.205
28-Mar-18,4.197,4.197,4.197,4.188
27-Mar-18,4.191,4.205,4.205,4.185
26-Mar-18,4.183,4.2,4.2,4.183
23-Mar-18,4.195,4.273,4.273,4.195
22-Mar-18,4.239,4.295,4.295,4.239
21-Mar-18,4.27,4.3,4.3,4.265
20-Mar-18,4.28,4.35,4.35,4.28
19-Mar-18,4.305,4.35,4.35,4.305
16-Mar-18,4.289,4.313,4.313,4.289
15-Mar-18,4.298,4.318,4.334,4.298
14-Mar-18,4.296,4.32,4.32,4.296
13-Mar-18,4.309,4.319,4.319,4.309
12-Mar-18,4.3,4.32,4.32,4.3
9-Mar-18,4.296,4.304,4.304,4.296
8-Mar-18,4.299,4.347,4.347,4.299
7-Mar-18,4.302,4.361,4.361,4.302
6-Mar-18,4.309,4.35,4.35,4.309
5-Mar-18,4.302,4.35,4.35,4.302
2-Mar-18,4.306,4.302,4.311,4.298
1-Mar-18,4.283,4.312,4.312,4.283
28-Feb-18,4.31,4.33,4.33,4.31
27-Feb-18,4.31,4.327,4.327,4.31
26-Feb-18,4.317,4.34,4.342,4.317
24-Feb-18,4.325,4.346,4.346,4.31
23-Feb-18,4.346,4.344,4.349,4.344
22-Feb-18,4.342,4.33,4.342,4.33
18-Feb-18,4.348,4.348,4.348,4.348
14-Feb-18,4.348,4.347,4.35,4.347
13-Feb-18,4.35,4.33,4.35,4.33
12-Feb-18,4.34,4.36,4.36,4.335
11-Feb-18,4.36,4.36,4.36,4.36
10-Feb-18,4.36,4.36,4.36,4.36
9-Feb-18,4.36,4.348,4.36,4.348
8-Feb-18,4.349,4.388,4.388,4.349
7-Feb-18,4.368,4.398,4.398,4.368
6-Feb-18,4.371,4.388,4.393,4.371
5-Feb-18,4.382,4.4,4.4,4.38
2-Feb-18,4.36,4.398,4.404,4.36
1-Feb-18,4.388,4.38,4.404,4.38
31-Jan-18,4.399,4.418,4.418,4.399
30-Jan-18,4.402,4.402,4.409,4.402
29-Jan-18,4.396,4.41,4.412,4.396
26-Jan-18,4.39,4.413,4.413,4.39
25-Jan-18,4.393,4.393,4.413,4.393
24-Jan-18,4.386,4.398,4.401,4.385
23-Jan-18,4.387,4.398,4.398,4.368
22-Jan-18,4.397,4.4,4.4,4.37
19-Jan-18,4.387,4.401,4.401,4.387
18-Jan-18,4.411,4.413,4.413,4.411
17-Jan-18,4.39,4.391,4.393,4.385
16-Jan-18,4.385,4.39,4.395,4.383
15-Jan-18,4.39,4.4,4.4,4.387
13-Jan-18,4.397,4.397,4.397,4.397
12-Jan-18,4.397,4.407,4.407,4.392
11-Jan-18,4.394,4.407,4.407,4.394
10-Jan-18,4.382,4.374,4.382,4.374
9-Jan-18,4.373,4.375,4.378,4.369
8-Jan-18,4.375,4.37,4.375,4.37
5-Jan-18,4.39,4.39,4.39,4.383
4-Jan-18,4.394,4.394,4.394,4.394
3-Jan-18,4.411,4.387,4.411,4.387
2-Jan-18,4.386,4.412,4.412,4.386
29-Dec-17,4.392,4.403,4.403,4.392
28-Dec-17,4.407,4.407,4.407,4.407
27-Dec-17,4.404,4.399,4.404,4.399
26-Dec-17,4.393,4.388,4.393,4.388
25-Dec-17,4.387,4.37,4.387,4.37
22-Dec-17,4.38,4.395,4.395,4.38
21-Dec-17,4.395,4.397,4.397,4.395
20-Dec-17,4.385,4.385,4.396,4.385
19-Dec-17,4.37,4.37,4.37,4.37
18-Dec-17,4.362,4.355,4.362,4.353
16-Dec-17,4.383,4.383,4.383,4.383
15-Dec-17,4.383,4.389,4.389,4.379
14-Dec-17,4.374,4.376,4.376,4.374
13-Dec-17,4.384,4.417,4.417,4.384
12-Dec-17,4.379,4.379,4.379,4.379
11-Dec-17,4.367,4.35,4.376,4.35
8-Dec-17,4.34,4.364,4.364,4.34
7-Dec-17,4.35,4.373,4.397,4.35
6-Dec-17,4.362,4.362,4.373,4.362
5-Dec-17,4.363,4.38,4.38,4.363
4-Dec-17,4.37,4.35,4.37,4.35
3-Dec-17,4.35,4.35,4.35,4.35
2-Dec-17,4.37,4.37,4.37,4.37
1-Dec-17,4.37,4.371,4.371,4.35
30-Nov-17,4.372,4.372,4.374,4.372
29-Nov-17,4.352,4.359,4.359,4.352
28-Nov-17,4.359,4.369,4.369,4.359
27-Nov-17,4.364,4.383,4.383,4.364
24-Nov-17,4.366,4.358,4.366,4.357
23-Nov-17,4.37,4.358,4.378,4.358
22-Nov-17,4.357,4.356,4.361,4.343
21-Nov-17,4.35,4.356,4.366,4.34
20-Nov-17,4.356,4.387,4.387,4.354
17-Nov-17,4.378,4.38,4.382,4.362
16-Nov-17,4.38,4.401,4.401,4.38
15-Nov-17,4.397,4.401,4.401,4.397
14-Nov-17,4.38,4.37,4.385,4.37
13-Nov-17,4.37,4.37,4.37,4.37
11-Nov-17,4.355,4.355,4.355,4.355
10-Nov-17,4.355,4.35,4.355,4.35
9-Nov-17,4.39,4.39,4.39,4.39
8-Nov-17,4.41,4.36,4.41,4.36
7-Nov-17,4.356,4.364,4.379,4.356
6-Nov-17,4.371,4.382,4.382,4.366
3-Nov-17,4.362,4.368,4.368,4.359
2-Nov-17,4.363,4.377,4.377,4.363
1-Nov-17,4.386,4.398,4.398,4.386
31-Oct-17,4.382,4.365,4.399,4.363
30-Oct-17,4.368,4.425,4.425,4.368
29-Oct-17,4.342,4.342,4.342,4.342
27-Oct-17,4.342,4.365,4.368,4.342
26-Oct-17,4.383,4.333,4.383,4.333
25-Oct-17,4.32,4.33,4.33,4.31
24-Oct-17,4.317,4.349,4.349,4.317
23-Oct-17,4.316,4.339,4.339,4.316
22-Oct-17,4.313,4.313,4.313,4.313
20-Oct-17,4.313,4.342,4.342,4.313
19-Oct-17,4.327,4.34,4.342,4.326
18-Oct-17,4.325,4.323,4.33,4.323
17-Oct-17,4.315,4.314,4.317,4.302
16-Oct-17,4.302,4.35,4.35,4.298
13-Oct-17,4.278,4.3,4.3,4.268
12-Oct-17,4.309,4.285,4.31,4.272
11-Oct-17,4.274,4.268,4.279,4.265
10-Oct-17,4.264,4.3,4.3,4.253
9-Oct-17,4.255,4.3,4.3,4.25
3-Oct-17,4.25,4.25,4.25,4.25
30-Sep-17,4.25,4.25,4.25,4.25
29-Sep-17,4.25,4.267,4.267,4.25
28-Sep-17,4.243,4.253,4.253,4.243
27-Sep-17,4.242,4.248,4.252,4.239
26-Sep-17,4.233,4.263,4.263,4.233
25-Sep-17,4.273,4.24,4.273,4.23
22-Sep-17,4.28,4.291,4.291,4.273
21-Sep-17,4.292,4.307,4.315,4.275
20-Sep-17,4.297,4.295,4.298,4.288
19-Sep-17,4.298,4.295,4.298,4.29
18-Sep-17,4.288,4.32,4.32,4.28
15-Sep-17,4.27,4.257,4.27,4.257
14-Sep-17,4.26,4.259,4.261,4.25
13-Sep-17,4.263,4.261,4.265,4.259
12-Sep-17,4.256,4.261,4.261,4.256
11-Sep-17,4.243,4.25,4.261,4.243
8-Sep-17,4.24,4.255,4.255,4.24
7-Sep-17,4.238,4.259,4.259,4.238
6-Sep-17,4.259,4.26,4.265,4.259
5-Sep-17,4.257,4.253,4.26,4.253
4-Sep-17,4.24,4.24,4.24,4.24
2-Sep-17,4.246,4.246,4.246,4.246
1-Sep-17,4.246,4.246,4.246,4.246
31-Aug-17,4.247,4.261,4.261,4.247
30-Aug-17,4.263,4.263,4.263,4.263
29-Aug-17,4.257,4.261,4.261,4.257
28-Aug-17,4.255,4.269,4.269,4.255
25-Aug-17,4.229,4.226,4.229,4.226
24-Aug-17,4.222,4.222,4.222,4.222
23-Aug-17,4.233,4.247,4.247,4.233
22-Aug-17,4.211,4.211,4.211,4.211
21-Aug-17,4.204,4.222,4.222,4.204
17-Aug-17,4.095,4.129,4.129,4.095
16-Aug-17,4.123,4.14,4.14,4.123
15-Aug-17,4.124,4.11,4.124,4.105
14-Aug-17,4.123,4.147,4.147,4.119
11-Aug-17,4.144,4.144,4.144,4.144
10-Aug-17,4.15,4.164,4.164,4.15
9-Aug-17,4.157,4.153,4.164,4.153
8-Aug-17,4.153,4.141,4.158,4.14
7-Aug-17,4.132,4.152,4.152,4.124
6-Aug-17,4.127,4.127,4.127,4.127
4-Aug-17,4.127,4.127,4.133,4.126
3-Aug-17,4.128,4.129,4.129,4.117
2-Aug-17,4.13,4.127,4.142,4.127
1-Aug-17,4.123,4.125,4.125,4.117
31-Jul-17,4.11,4.1,4.11,4.095
28-Jul-17,4.108,4.114,4.115,4.105
27-Jul-17,4.112,4.112,4.112,4.103
26-Jul-17,4.086,4.081,4.094,4.081
25-Jul-17,4.073,4.041,4.076,4.03
24-Jul-17,4.026,4.02,4.036,4.013
21-Jul-17,3.998,3.995,4.004,3.993
20-Jul-17,3.991,3.997,3.997,3.985
19-Jul-17,3.998,4.004,4.004,3.99
18-Jul-17,3.997,3.987,3.997,3.987
17-Jul-17,3.979,3.98,3.995,3.977
16-Jul-17,3.999,3.999,3.999,3.999
14-Jul-17,3.999,3.996,4.005,3.99
13-Jul-17,3.994,3.996,4.001,3.993
12-Jul-17,3.99,3.999,3.999,3.99
11-Jul-17,4,4.006,4.006,3.998
10-Jul-17,4.005,4,4.013,4
7-Jul-17,4.011,4,4.011,4
6-Jul-17,4.005,4.007,4.007,3.998
5-Jul-17,4.014,4.01,4.016,4.003
4-Jul-17,4.007,4.007,4.01,4.005
3-Jul-17,4.003,4,4.008,3.997
2-Jul-17,3.987,3.987,3.987,3.987
1-Jul-17,3.987,3.987,3.987,3.987
30-Jun-17,3.987,3.993,3.993,3.983
29-Jun-17,3.981,3.983,3.993,3.973
28-Jun-17,3.986,3.99,3.99,3.974
27-Jun-17,4,4,4.002,3.995
26-Jun-17,4.008,4,4.01,4
25-Jun-17,4.01,4.01,4.01,4.01
23-Jun-17,4.01,3.978,4.012,3.976
22-Jun-17,3.988,3.975,3.993,3.975
21-Jun-17,3.965,3.974,3.974,3.958
20-Jun-17,3.968,3.968,3.977,3.963
19-Jun-17,3.993,3.975,3.998,3.975
18-Jun-17,3.975,3.975,3.975,3.975
17-Jun-17,3.943,3.943,3.943,3.943
16-Jun-17,3.939,3.934,3.97,3.934
15-Jun-17,3.933,3.953,3.953,3.927
14-Jun-17,3.962,3.963,3.97,3.96
13-Jun-17,3.97,3.996,3.996,3.963
12-Jun-17,4.019,4.037,4.037,4.009
9-Jun-17,4.034,4.048,4.048,4.027
8-Jun-17,4.025,4.027,4.029,4.023
7-Jun-17,4.02,4.02,4.025,4.02
6-Jun-17,4.02,4.023,4.028,4.02
5-Jun-17,4.036,4.051,4.051,4.033
2-Jun-17,4.03,4.027,4.03,4.017
1-Jun-17,4.024,4.033,4.033,4.02
31-May-17,4.042,4.061,4.061,4.037
27-May-17,4.037,4.037,4.037,4.037
26-May-17,4.038,4.042,4.042,4.03
25-May-17,4.05,4.04,4.053,4.04
24-May-17,4.05,4.04,4.05,4.04
23-May-17,4.046,4.035,4.046,4.035
22-May-17,4.038,4.02,4.041,4.02
19-May-17,4.04,4.024,4.04,4.02
18-May-17,4.03,4.013,4.032,4.013
17-May-17,4.003,4.003,4.008,4.002
16-May-17,4.002,3.987,4.002,3.987
15-May-17,3.993,3.98,3.995,3.98
12-May-17,3.972,3.98,3.98,3.97
11-May-17,3.988,3.963,3.994,3.963
10-May-17,3.962,3.95,3.962,3.95
9-May-17,3.95,3.943,3.963,3.943
8-May-17,3.935,3.96,3.96,3.927
7-May-17,3.93,3.93,3.93,3.93
5-May-17,3.93,3.938,3.938,3.93
4-May-17,3.936,3.923,3.94,3.923
3-May-17,3.935,3.929,3.935,3.923
2-May-17,3.928,3.94,3.94,3.92
28-Apr-17,3.926,3.909,3.932,3.907
27-Apr-17,3.916,3.932,3.932,3.916
26-Apr-17,3.92,3.92,3.93,3.916
25-Apr-17,3.935,3.892,3.935,3.892
24-Apr-17,3.891,3.88,3.9,3.88
22-Apr-17,3.863,3.863,3.863,3.863
21-Apr-17,3.863,3.84,3.867,3.84
20-Apr-17,3.847,3.845,3.85,3.84
19-Apr-17,3.849,3.828,3.849,3.828
18-Apr-17,3.823,3.814,3.835,3.814
17-Apr-17,3.798,3.815,3.815,3.788
14-Apr-17,3.785,3.789,3.789,3.777
13-Apr-17,3.797,3.793,3.797,3.78
12-Apr-17,3.787,3.79,3.798,3.787
11-Apr-17,3.802,3.801,3.802,3.8
10-Apr-17,3.801,3.78,3.812,3.78
7-Apr-17,3.802,3.813,3.813,3.802
6-Apr-17,3.806,3.803,3.806,3.796
5-Apr-17,3.81,3.83,3.83,3.793
3-Apr-17,3.815,3.815,3.815,3.815
1-Apr-17,3.815,3.815,3.815,3.815
31-Mar-17,3.817,3.833,3.833,3.817
30-Mar-17,3.82,3.833,3.833,3.817
29-Mar-17,3.817,3.824,3.824,3.812
28-Mar-17,3.817,3.832,3.832,3.817
27-Mar-17,3.833,3.82,3.839,3.82
26-Mar-17,3.857,3.857,3.857,3.857
24-Mar-17,3.857,3.883,3.883,3.857
23-Mar-17,3.862,3.875,3.875,3.86
22-Mar-17,3.863,3.885,3.885,3.863
21-Mar-17,3.876,3.864,3.876,3.864
20-Mar-17,3.85,3.86,3.866,3.85
18-Mar-17,3.847,3.847,3.847,3.847
17-Mar-17,3.847,3.843,3.847,3.837
16-Mar-17,3.853,3.869,3.869,3.843
15-Mar-17,3.867,3.874,3.874,3.857
14-Mar-17,3.864,3.885,3.885,3.862
13-Mar-17,3.869,3.895,3.895,3.867
10-Mar-17,3.88,3.883,3.883,3.88
9-Mar-17,3.875,3.873,3.877,3.873
8-Mar-17,3.87,3.876,3.876,3.863
7-Mar-17,3.867,3.857,3.87,3.857
6-Mar-17,3.85,3.86,3.86,3.845
4-Mar-17,3.85,3.828,3.85,3.828
3-Mar-17,3.828,3.857,3.857,3.821
2-Mar-17,3.848,3.852,3.857,3.848
1-Mar-17,3.838,3.839,3.844,3.834
28-Feb-17,3.815,3.827,3.827,3.805
27-Feb-17,3.827,3.84,3.84,3.812
24-Feb-17,3.813,3.827,3.827,3.81
23-Feb-17,3.82,3.858,3.858,3.82
22-Feb-17,3.86,3.878,3.878,3.86
21-Feb-17,3.841,3.852,3.852,3.833
20-Feb-17,3.84,3.85,3.867,3.84
17-Feb-17,3.877,3.908,3.908,3.877
16-Feb-17,3.903,3.907,3.912,3.903
15-Feb-17,3.9,3.89,3.9,3.89
14-Feb-17,3.887,3.9,3.9,3.883
13-Feb-17,3.887,3.87,3.887,3.87
10-Feb-17,3.883,3.88,3.883,3.87
9-Feb-17,3.877,3.885,3.89,3.877
8-Feb-17,3.86,3.86,3.86,3.85
7-Feb-17,3.86,3.843,3.868,3.843
6-Feb-17,3.82,3.85,3.85,3.82
4-Feb-17,3.807,3.807,3.807,3.807
3-Feb-17,3.776,3.83,3.83,3.774
27-Jan-17,3.767,3.767,3.767,3.767
26-Jan-17,3.767,3.757,3.767,3.753
25-Jan-17,3.748,3.76,3.76,3.74
