Date,Close,Open,High,Low
1980/12/10,1.856776075,1.856776075,1.856776075,1.856776075
1980/12/11,1.849913906,1.849913906,1.849913906,1.849913906
1980/12/12,1.854007508,1.854007508,1.854007508,1.854007508
1980/12/13,NAN,NAN,NAN,NAN
1980/12/14,NAN,NAN,NAN,NAN
1980/12/15,1.840821122,1.840821122,1.840821122,1.840821122
1980/12/16,1.845363945,1.845363945,1.845363945,1.845363945
1980/12/17,1.845574505,1.845574505,1.845574505,1.845574505
1980/12/18,1.843509296,1.843509296,1.843509296,1.843509296
1980/12/19,1.845181751,1.845181751,1.845181751,1.845181751
1980/12/20,NAN,NAN,NAN,NAN
1980/12/21,NAN,NAN,NAN,NAN
1980/12/22,1.85663246,1.85663246,1.85663246,1.85663246
1980/12/23,1.859382135,1.859382135,1.859382135,1.859382135
1980/12/24,1.857960449,1.857960449,1.857960449,1.857960449
1980/12/25,NAN,NAN,NAN,NAN
1980/12/26,NAN,NAN,NAN,NAN
1980/12/27,NAN,NAN,NAN,NAN
1980/12/28,NAN,NAN,NAN,NAN
1980/12/29,1.859326287,1.859326287,1.859326287,1.859326287
1980/12/30,1.877070696,1.877070696,1.877070696,1.877070696
1980/12/31,1.875319604,1.875319604,1.875319604,1.875319604
1981/1/1,NAN,NAN,NAN,NAN
1981/1/2,1.871295233,1.871295233,1.871295233,1.871295233
1981/1/3,NAN,NAN,NAN,NAN
1981/1/4,NAN,NAN,NAN,NAN
1981/1/5,1.88530493,1.88530493,1.88530493,1.88530493
1981/1/6,1.883804825,1.883804825,1.883804825,1.883804825
1981/1/7,1.882496577,1.882496577,1.882496577,1.882496577
1981/1/8,1.88069493,1.88069493,1.88069493,1.88069493
1981/1/9,1.881722494,1.881722494,1.881722494,1.881722494
1981/1/10,NAN,NAN,NAN,NAN
1981/1/11,NAN,NAN,NAN,NAN
1981/1/12,1.885268898,1.885268898,1.885268898,1.885268898
1981/1/13,1.885938157,1.885938157,1.885938157,1.885938157
1981/1/14,1.888344347,1.888344347,1.888344347,1.888344347
1981/1/15,1.895706734,1.895706734,1.895706734,1.895706734
1981/1/16,1.896249089,1.896249089,1.896249089,1.896249089
1981/1/17,NAN,NAN,NAN,NAN
1981/1/18,NAN,NAN,NAN,NAN
1981/1/19,1.898358047,1.898358047,1.898358047,1.898358047
1981/1/20,1.90222782,1.90222782,1.90222782,1.90222782
1981/1/21,1.901865255,1.901865255,1.901865255,1.901865255
1981/1/22,1.900468773,1.900468773,1.900468773,1.900468773
1981/1/23,1.90456843,1.90456843,1.90456843,1.90456843
1981/1/24,NAN,NAN,NAN,NAN
1981/1/25,NAN,NAN,NAN,NAN
1981/1/26,1.914183852,1.914183852,1.914183852,1.914183852
1981/1/27,1.916627666,1.916627666,1.916627666,1.916627666
1981/1/28,1.924811895,1.924811895,1.924811895,1.924811895
1981/1/29,1.917870172,1.917870172,1.917870172,1.917870172
1981/1/30,1.909127962,1.909127962,1.909127962,1.909127962
1981/1/31,NAN,NAN,NAN,NAN
1981/2/1,NAN,NAN,NAN,NAN
1981/2/2,1.88695247,1.88695247,1.88695247,1.88695247
1981/2/3,1.891165135,1.891165135,1.891165135,1.891165135
1981/2/4,1.897463957,1.897463957,1.897463957,1.897463957
1981/2/5,1.885616717,1.885616717,1.885616717,1.885616717
1981/2/6,1.882282031,1.882282031,1.882282031,1.882282031
1981/2/7,NAN,NAN,NAN,NAN
1981/2/8,NAN,NAN,NAN,NAN
1981/2/9,1.889135218,1.889135218,1.889135218,1.889135218
1981/2/10,1.887608818,1.887608818,1.887608818,1.887608818
1981/2/11,1.889130399,1.889130399,1.889130399,1.889130399
1981/2/12,1.881600393,1.881600393,1.881600393,1.881600393
1981/2/13,1.869858766,1.869858766,1.869858766,1.869858766
1981/2/14,NAN,NAN,NAN,NAN
1981/2/15,NAN,NAN,NAN,NAN
