Date,Close,Open,High,Low
11-Mar-19,0.199,0.202,0.209,0.197
8-Mar-19,0.238,0.216,0.238,0.186
7-Mar-19,0.216,0.283,0.283,0.216
6-Mar-19,0.283,0.322,0.322,0.268
5-Mar-19,0.322,0.334,0.334,0.303
4-Mar-19,0.317,0.317,0.317,0.301
1-Mar-19,0.353,0.31,0.353,0.303
28-Feb-19,0.342,0.283,0.342,0.278
27-Feb-19,0.292,0.261,0.292,0.25
26-Feb-19,0.259,0.253,0.266,0.247
25-Feb-19,0.252,0.257,0.262,0.252
22-Feb-19,0.279,0.279,0.279,0.249
21-Feb-19,0.29,0.262,0.292,0.249
20-Feb-19,0.262,0.261,0.263,0.249
19-Feb-19,0.294,0.269,0.294,0.256
18-Feb-19,0.294,0.249,0.294,0.249
15-Feb-19,0.28,0.268,0.282,0.249
14-Feb-19,0.305,0.291,0.305,0.261
13-Feb-19,0.289,0.295,0.298,0.287
12-Feb-19,0.273,0.279,0.288,0.262
11-Feb-19,0.252,0.252,0.264,0.23
8-Feb-19,0.222,0.248,0.274,0.222
7-Feb-19,0.281,0.291,0.31,0.253
6-Feb-19,0.334,0.291,0.334,0.291
5-Feb-19,0.338,0.315,0.338,0.298
4-Feb-19,0.341,0.292,0.341,0.292
1-Feb-19,0.329,0.268,0.329,0.261
31-Jan-19,0.317,0.285,0.323,0.266
30-Jan-19,0.297,0.324,0.349,0.292
29-Jan-19,0.372,0.337,0.372,0.317
28-Jan-19,0.375,0.374,0.375,0.339
25-Jan-19,0.379,0.375,0.379,0.336
24-Jan-19,0.377,0.397,0.397,0.343
23-Jan-19,0.407,0.391,0.407,0.382
22-Jan-19,0.419,0.423,0.423,0.389
21-Jan-19,0.446,0.426,0.446,0.414
18-Jan-19,0.426,0.44,0.456,0.424
17-Jan-19,0.453,0.41,0.453,0.398
16-Jan-19,0.435,0.415,0.435,0.396
15-Jan-19,0.413,0.411,0.417,0.387
14-Jan-19,0.416,0.414,0.417,0.388
11-Jan-19,0.417,0.391,0.417,0.383
10-Jan-19,0.408,0.451,0.451,0.384
9-Jan-19,0.393,0.391,0.414,0.386
8-Jan-19,0.403,0.356,0.403,0.356
7-Jan-19,0.349,0.34,0.349,0.335
4-Jan-19,0.343,0.312,0.345,0.312
3-Jan-19,0.323,0.311,0.329,0.305
28-Dec-18,0.359,0.355,0.359,0.348
27-Dec-18,0.361,0.352,0.361,0.343
21-Dec-18,0.382,0.37,0.382,0.353
20-Dec-18,0.357,0.408,0.408,0.352
19-Dec-18,0.412,0.439,0.445,0.412
18-Dec-18,0.446,0.483,0.483,0.431
17-Dec-18,0.455,0.458,0.46,0.446
14-Dec-18,0.453,0.482,0.482,0.444
13-Dec-18,0.479,0.476,0.489,0.444
12-Dec-18,0.474,0.469,0.481,0.452
11-Dec-18,0.465,0.472,0.484,0.45
10-Dec-18,0.467,0.478,0.479,0.453
7-Dec-18,0.474,0.453,0.486,0.451
6-Dec-18,0.45,0.487,0.515,0.443
5-Dec-18,0.482,0.455,0.486,0.445
4-Dec-18,0.478,0.513,0.516,0.467
3-Dec-18,0.515,0.538,0.54,0.485
30-Nov-18,0.517,0.514,0.522,0.489
29-Nov-18,0.516,0.539,0.539,0.505
28-Nov-18,0.544,0.526,0.544,0.509
27-Nov-18,0.527,0.527,0.539,0.507
26-Nov-18,0.54,0.532,0.547,0.523
23-Nov-18,0.529,0.54,0.559,0.514
22-Nov-18,0.543,0.549,0.549,0.524
21-Nov-18,0.55,0.546,0.556,0.521
20-Nov-18,0.547,0.578,0.578,0.523
19-Nov-18,0.564,0.566,0.59,0.54
16-Nov-18,0.566,0.597,0.597,0.54
15-Nov-18,0.563,0.612,0.614,0.538
14-Nov-18,0.593,0.605,0.607,0.563
13-Nov-18,0.577,0.587,0.595,0.562
12-Nov-18,0.585,0.598,0.598,0.559
9-Nov-18,0.598,0.613,0.613,0.579
8-Nov-18,0.621,0.629,0.63,0.597
7-Nov-18,0.613,0.598,0.625,0.578
6-Nov-18,0.605,0.601,0.605,0.576
5-Nov-18,0.601,0.599,0.601,0.569
2-Nov-18,0.601,0.601,0.617,0.579
1-Nov-18,0.566,0.586,0.591,0.566
31-Oct-18,0.566,0.58,0.581,0.56
30-Oct-18,0.559,0.581,0.581,0.556
29-Oct-18,0.563,0.561,0.566,0.542
26-Oct-18,0.547,0.582,0.584,0.537
25-Oct-18,0.58,0.58,0.586,0.563
24-Oct-18,0.567,0.597,0.597,0.558
23-Oct-18,0.579,0.615,0.615,0.575
22-Oct-18,0.612,0.631,0.641,0.599
19-Oct-18,0.601,0.631,0.631,0.583
18-Oct-18,0.61,0.651,0.655,0.605
17-Oct-18,0.628,0.655,0.655,0.622
16-Oct-18,0.662,0.675,0.681,0.651
15-Oct-18,0.661,0.658,0.666,0.656
12-Oct-18,0.663,0.704,0.704,0.641
11-Oct-18,0.675,0.711,0.711,0.661
10-Oct-18,0.68,0.701,0.701,0.676
9-Oct-18,0.679,0.689,0.69,0.674
8-Oct-18,0.664,0.709,0.709,0.655
5-Oct-18,0.673,0.671,0.681,0.663
4-Oct-18,0.671,0.636,0.688,0.636
3-Oct-18,0.637,0.639,0.639,0.609
2-Oct-18,0.609,0.631,0.639,0.597
1-Oct-18,0.632,0.639,0.644,0.622
28-Sep-18,0.625,0.658,0.658,0.602
27-Sep-18,0.658,0.655,0.669,0.638
26-Sep-18,0.686,0.671,0.686,0.66
25-Sep-18,0.682,0.654,0.684,0.652
24-Sep-18,0.657,0.638,0.657,0.637
21-Sep-18,0.638,0.65,0.65,0.635
20-Sep-18,0.651,0.654,0.664,0.633
19-Sep-18,0.65,0.633,0.65,0.633
18-Sep-18,0.631,0.618,0.633,0.607
17-Sep-18,0.618,0.594,0.618,0.594
14-Sep-18,0.632,0.598,0.632,0.586
13-Sep-18,0.598,0.596,0.598,0.578
12-Sep-18,0.614,0.603,0.614,0.586
11-Sep-18,0.625,0.594,0.625,0.58
10-Sep-18,0.6,0.573,0.6,0.542
7-Sep-18,0.559,0.57,0.572,0.516
6-Sep-18,0.536,0.582,0.582,0.535
5-Sep-18,0.579,0.549,0.579,0.547
4-Sep-18,0.582,0.541,0.582,0.541
3-Sep-18,0.549,0.557,0.557,0.527
31-Aug-18,0.532,0.542,0.547,0.513
30-Aug-18,0.529,0.566,0.566,0.529
29-Aug-18,0.562,0.555,0.562,0.531
28-Aug-18,0.583,0.538,0.583,0.523
27-Aug-18,0.535,0.513,0.535,0.508
