Date,Close,Open,High,Low
10-Mar-19,3.011,3.013,3.013,3.011
8-Mar-19,3.013,3.031,3.045,3.004
7-Mar-19,3.027,3.068,3.072,3.025
6-Mar-19,3.071,3.083,3.089,3.054
5-Mar-19,3.083,3.093,3.111,3.08
4-Mar-19,3.092,3.133,3.135,3.086
3-Mar-19,3.134,3.137,3.137,3.134
1-Mar-19,3.127,3.083,3.137,3.079
28-Feb-19,3.082,3.061,3.101,3.042
27-Feb-19,3.066,3.007,3.077,3.005
26-Feb-19,3.008,3.024,3.035,3.004
25-Feb-19,3.031,3.024,3.047,3.018
24-Feb-19,3.024,3.023,3.024,3.023
22-Feb-19,3.017,3.049,3.049,2.999
21-Feb-19,3.05,2.994,3.054,2.99
20-Feb-19,2.998,2.981,3.013,2.97
19-Feb-19,2.979,2.998,3.004,2.969
18-Feb-19,2.998,2.998,2.998,2.998
15-Feb-19,2.994,3.002,3.024,2.984
14-Feb-19,2.999,3.028,3.039,2.986
13-Feb-19,3.036,3.03,3.045,3.018
12-Feb-19,3.024,2.994,3.031,2.992
11-Feb-19,2.99,2.978,3.006,2.976
10-Feb-19,2.976,2.976,2.976,2.976
8-Feb-19,2.976,3.001,3.005,2.971
7-Feb-19,2.996,3.032,3.032,2.991
6-Feb-19,3.035,3.035,3.043,3.008
5-Feb-19,3.035,3.051,3.073,3.018
4-Feb-19,3.057,3.031,3.074,3.024
3-Feb-19,3.03,3.03,3.03,3.03
1-Feb-19,3.025,3.006,3.037,2.987
31-Jan-19,2.997,3.035,3.038,2.989
30-Jan-19,3.033,3.045,3.072,3.031
29-Jan-19,3.04,3.064,3.076,3.037
28-Jan-19,3.067,3.061,3.072,3.04
27-Jan-19,3.062,3.061,3.062,3.061
25-Jan-19,3.066,3.039,3.068,3.036
24-Jan-19,3.033,3.062,3.07,3.025
23-Jan-19,3.068,3.062,3.101,3.052
22-Jan-19,3.062,3.095,3.1,3.046
21-Jan-19,3.096,3.095,3.096,3.095
18-Jan-19,3.1,3.071,3.109,3.069
17-Jan-19,3.075,3.069,3.085,3.048
16-Jan-19,3.074,3.076,3.106,3.059
15-Jan-19,3.077,3.052,3.08,3.033
14-Jan-19,3.057,3.056,3.064,3.007
13-Jan-19,3.033,3.033,3.033,3.033
11-Jan-19,3.033,3.051,3.061,3.017
10-Jan-19,3.064,3.008,3.066,2.986
9-Jan-19,3.006,3.011,3.034,2.998
8-Jan-19,3.005,2.984,3.011,2.977
7-Jan-19,2.993,2.98,2.997,2.935
6-Jan-19,2.981,2.982,2.982,2.981
4-Jan-19,2.981,2.906,2.996,2.888
3-Jan-19,2.903,2.967,2.974,2.897
2-Jan-19,2.963,3.016,3.059,2.953
1-Jan-19,3.02,3.02,3.02,3.02
31-Dec-18,3.02,3.047,3.053,3.005
30-Dec-18,3.02,3.02,3.02,3.02
28-Dec-18,3.02,3.048,3.065,3.02
27-Dec-18,3.058,3.058,3.075,3.003
26-Dec-18,3.065,3.006,3.071,2.977
25-Dec-18,3.006,3.004,3.006,3.004
24-Dec-18,2.999,3.041,3.045,2.995
23-Dec-18,3.03,3.03,3.03,3.03
