Date,Close,Open,High,Low
11-Mar-19,2.614,2.598,2.631,2.591
10-Mar-19,2.598,2.603,2.628,2.597
9-Mar-19,2.618,2.603,2.618,2.603
8-Mar-19,2.618,2.604,2.631,2.594
7-Mar-19,2.604,2.641,2.654,2.6
6-Mar-19,2.663,2.726,2.726,2.662
5-Mar-19,2.717,2.731,2.763,2.712
4-Mar-19,2.752,2.765,2.781,2.725
3-Mar-19,2.76,2.765,2.767,2.725
2-Mar-19,2.765,2.765,2.765,2.765
1-Mar-19,2.71,2.729,2.739,2.697
28-Feb-19,2.675,2.697,2.717,2.675
27-Feb-19,2.625,2.637,2.638,2.619
26-Feb-19,2.646,2.664,2.669,2.636
25-Feb-19,2.623,2.633,2.675,2.622
24-Feb-19,2.644,2.643,2.675,2.633
23-Feb-19,2.633,2.643,2.643,2.633
22-Feb-19,2.643,2.636,2.65,2.621
21-Feb-19,2.626,2.655,2.683,2.598
20-Feb-19,2.652,2.679,2.679,2.651
19-Feb-19,2.681,2.691,2.698,2.675
18-Feb-19,2.674,2.682,2.685,2.662
17-Feb-19,2.68,2.648,2.685,2.648
16-Feb-19,2.648,2.681,2.681,2.648
15-Feb-19,2.658,2.652,2.701,2.634
14-Feb-19,2.686,2.715,2.724,2.677
13-Feb-19,2.699,2.68,2.709,2.675
12-Feb-19,2.663,2.641,2.683,2.621
11-Feb-19,2.666,2.646,2.69,2.645
10-Feb-19,2.654,2.663,2.69,2.645
9-Feb-19,2.648,2.663,2.663,2.648
8-Feb-19,2.647,2.649,2.676,2.628
7-Feb-19,2.712,2.696,2.72,2.687
6-Feb-19,2.718,2.773,2.79,2.715
5-Feb-19,2.777,2.784,2.793,2.744
4-Feb-19,2.751,2.782,2.785,2.75
3-Feb-19,2.777,2.783,2.785,2.766
2-Feb-19,2.783,2.783,2.783,2.783
1-Feb-19,2.75,2.744,2.779,2.741
31-Jan-19,2.771,2.748,2.775,2.727
30-Jan-19,2.771,2.742,2.771,2.728
29-Jan-19,2.748,2.74,2.784,2.725
