Date,Close,Open,High,Low
11-Mar-19,8.91,8.91,8.91,8.91
8-Mar-19,9.02,9.08,9.08,8.98
7-Mar-19,9.07,9.18,9.18,9.06
6-Mar-19,9.12,9.05,9.2,9.05
1-Mar-19,9.09,9.04,9.13,9.01
28-Feb-19,9.02,9.01,9.05,8.98
27-Feb-19,8.97,9.02,9.02,8.94
26-Feb-19,9.01,9.05,9.05,8.95
25-Feb-19,8.99,8.95,9,8.89
22-Feb-19,8.93,9.2,9.21,8.91
21-Feb-19,9,8.97,9.02,8.945
20-Feb-19,8.97,8.795,9,8.75
19-Feb-19,8.81,8.91,8.93,8.77
18-Feb-19,8.91,8.78,8.93,8.77
15-Feb-19,8.77,8.77,8.77,8.77
14-Feb-19,8.8,8.95,9.01,8.77
13-Feb-19,8.94,9,9.01,8.87
12-Feb-19,8.96,9.08,9.08,8.96
11-Feb-19,9.05,9.02,9.16,8.98
8-Feb-19,9.05,8.98,9.18,8.93
7-Feb-19,8.98,8.94,9.03,8.91
6-Feb-19,8.93,8.74,9.03,8.74
5-Feb-19,8.81,8.75,8.88,8.74
4-Feb-19,8.75,8.83,8.88,8.73
1-Feb-19,8.71,8.85,8.91,8.71
31-Jan-19,8.87,9.05,9.05,8.8
30-Jan-19,9.06,9.04,9.14,8.95
29-Jan-19,9.04,9.14,9.14,9
28-Jan-19,9.13,9.07,9.18,9.07
25-Jan-19,9.07,9.07,9.07,9.07
24-Jan-19,9.11,9.09,9.12,8.97
23-Jan-19,8.97,9.025,9.26,8.95
22-Jan-19,9.13,9.06,9.15,8.98
21-Jan-19,9.04,9.09,9.16,9.03
18-Jan-19,9.1,9.195,9.25,9.07
17-Jan-19,9.21,9.23,9.25,9.21
16-Jan-19,9.25,9.235,9.255,9.235
15-Jan-19,9.205,9.14,9.215,9.14
14-Jan-19,9.135,9.185,9.21,9.135
11-Jan-19,9.22,9.195,9.25,9.195
10-Jan-19,9.21,9.125,9.22,9.11
9-Jan-19,9.095,9.145,9.145,9.065
8-Jan-19,9.14,9.27,9.27,9.11
7-Jan-19,9.18,9.15,9.43,9.06
4-Jan-19,9.12,9.19,9.29,9.05
3-Jan-19,9.18,9.24,9.27,9.14
2-Jan-19,9.25,9.24,9.36,9.12
31-Dec-18,9.24,9.24,9.24,9.24
28-Dec-18,9.32,9.28,9.37,9.19
27-Dec-18,9.34,9.4,9.41,9.23
26-Dec-18,9.37,9.35,9.46,9.33
24-Dec-18,9.365,9.365,9.365,9.365
21-Dec-18,9.46,9.45,9.53,9.32
20-Dec-18,9.45,9.595,9.595,9.43
19-Dec-18,9.59,9.72,9.72,9.5
18-Dec-18,9.74,9.7,9.81,9.57
17-Dec-18,9.66,9.665,9.73,9.65
14-Dec-18,9.68,9.83,9.91,9.65
13-Dec-18,9.83,9.98,10.1,9.8
12-Dec-18,10.04,10.15,10.17,10.01
11-Dec-18,10.15,10.12,10.23,10.08
10-Dec-18,10.22,10.045,10.24,10.045
7-Dec-18,10.05,9.98,10.09,9.91
6-Dec-18,10.04,10.25,10.28,10.01
