Date,Close,Open,High,Low
13-Mar-19,2.038,2.033,2.047,2.028
12-Mar-19,2.026,2.052,2.061,2.014
11-Mar-19,2.047,2.055,2.071,2.045
8-Mar-19,2.055,2.066,2.084,2.047
7-Mar-19,2.067,2.117,2.12,2.062
6-Mar-19,2.122,2.141,2.143,2.105
5-Mar-19,2.158,2.17,2.19,2.158
4-Mar-19,2.166,2.205,2.211,2.166
3-Mar-19,2.202,2.202,2.202,2.202
1-Mar-19,2.202,2.19,2.211,2.187
28-Feb-19,2.187,2.153,2.198,2.141
27-Feb-19,2.164,2.126,2.168,2.12
26-Feb-19,2.122,2.147,2.147,2.112
25-Feb-19,2.141,2.143,2.164,2.141
22-Feb-19,2.141,2.173,2.177,2.135
21-Feb-19,2.175,2.154,2.181,2.154
20-Feb-19,2.148,2.137,2.162,2.135
19-Feb-19,2.141,2.152,2.162,2.133
15-Feb-19,2.156,2.141,2.171,2.139
14-Feb-19,2.141,2.167,2.167,2.133
13-Feb-19,2.175,2.169,2.194,2.165
12-Feb-19,2.167,2.182,2.182,2.157
11-Feb-19,2.15,2.161,2.173,2.149
8-Feb-19,2.139,2.137,2.163,2.125
7-Feb-19,2.145,2.167,2.173,2.135
6-Feb-19,2.176,2.163,2.182,2.159
5-Feb-19,2.18,2.21,2.216,2.176
4-Feb-19,2.197,2.188,2.21,2.182
1-Feb-19,2.186,2.138,2.197,2.135
31-Jan-19,2.14,2.155,2.161,2.129
30-Jan-19,2.163,2.18,2.199,2.159
29-Jan-19,2.169,2.179,2.193,2.165
28-Jan-19,2.182,2.187,2.212,2.172
27-Jan-19,2.197,2.197,2.197,2.197
25-Jan-19,2.197,2.17,2.201,2.17
24-Jan-19,2.159,2.195,2.195,2.151
23-Jan-19,2.191,2.191,2.214,2.18
22-Jan-19,2.191,2.227,2.245,2.18
21-Jan-19,2.237,2.251,2.258,2.234
18-Jan-19,2.258,2.232,2.269,2.23
17-Jan-19,2.23,2.21,2.243,2.2
16-Jan-19,2.221,2.195,2.23,2.195
15-Jan-19,2.198,2.182,2.2,2.155
14-Jan-19,2.172,2.14,2.178,2.134
12-Jan-19,2.162,2.162,2.162,2.162
11-Jan-19,2.162,2.181,2.181,2.147
10-Jan-19,2.193,2.172,2.193,2.147
9-Jan-19,2.179,2.179,2.198,2.151
8-Jan-19,2.174,2.166,2.179,2.137
7-Jan-19,2.162,2.107,2.162,2.105
4-Jan-19,2.139,2.068,2.141,2.068
3-Jan-19,2.064,2.132,2.153,2.052
2-Jan-19,2.118,2.116,2.17,2.112
31-Dec-18,2.181,2.159,2.19,2.141
28-Dec-18,2.152,2.143,2.156,2.136
27-Dec-18,2.172,2.141,2.173,2.133
24-Dec-18,2.152,2.177,2.177,2.147
21-Dec-18,2.183,2.158,2.191,2.148
20-Dec-18,2.169,2.114,2.169,2.1
19-Dec-18,2.125,2.175,2.184,2.11
18-Dec-18,2.184,2.203,2.224,2.177
17-Dec-18,2.216,2.272,2.274,2.216
15-Dec-18,2.276,2.276,2.276,2.276
14-Dec-18,2.278,2.3,2.3,2.27
13-Dec-18,2.324,2.27,2.329,2.265
12-Dec-18,2.285,2.231,2.285,2.228
11-Dec-18,2.229,2.227,2.239,2.212
