Date,Close,Open,High,Low
13-Mar-19,0.73,0.716,0.747,0.715
12-Mar-19,0.713,0.741,0.773,0.711
11-Mar-19,0.727,0.71,0.73,0.703
8-Mar-19,0.712,0.727,0.738,0.698
7-Mar-19,0.728,0.78,0.793,0.725
6-Mar-19,0.782,0.803,0.803,0.768
5-Mar-19,0.805,0.797,0.828,0.797
4-Mar-19,0.803,0.827,0.827,0.791
1-Mar-19,0.815,0.815,0.842,0.802
28-Feb-19,0.812,0.765,0.817,0.757
27-Feb-19,0.771,0.737,0.793,0.731
26-Feb-19,0.747,0.732,0.755,0.721
25-Feb-19,0.738,0.728,0.745,0.725
22-Feb-19,0.716,0.745,0.747,0.712
21-Feb-19,0.747,0.732,0.765,0.726
20-Feb-19,0.727,0.735,0.748,0.715
19-Feb-19,0.737,0.74,0.753,0.715
18-Feb-19,0.743,0.721,0.75,0.717
16-Feb-19,0.72,0.72,0.72,0.72
15-Feb-19,0.722,0.713,0.731,0.703
14-Feb-19,0.716,0.748,0.756,0.698
13-Feb-19,0.745,0.768,0.771,0.741
12-Feb-19,0.757,0.752,0.771,0.74
11-Feb-19,0.743,0.703,0.749,0.703
8-Feb-19,0.701,0.722,0.743,0.693
7-Feb-19,0.729,0.765,0.774,0.719
6-Feb-19,0.767,0.771,0.782,0.754
5-Feb-19,0.775,0.78,0.809,0.769
4-Feb-19,0.779,0.776,0.791,0.765
1-Feb-19,0.778,0.75,0.781,0.747
31-Jan-19,0.746,0.771,0.784,0.746
30-Jan-19,0.782,0.795,0.806,0.775
29-Jan-19,0.797,0.804,0.813,0.793
28-Jan-19,0.802,0.771,0.819,0.77
25-Jan-19,0.777,0.778,0.792,0.766
24-Jan-19,0.777,0.828,0.83,0.775
23-Jan-19,0.83,0.839,0.852,0.824
22-Jan-19,0.836,0.854,0.871,0.835
21-Jan-19,0.863,0.87,0.876,0.852
18-Jan-19,0.876,0.857,0.889,0.852
17-Jan-19,0.854,0.833,0.858,0.821
16-Jan-19,0.843,0.821,0.865,0.821
15-Jan-19,0.825,0.839,0.846,0.806
14-Jan-19,0.834,0.842,0.842,0.805
11-Jan-19,0.845,0.845,0.853,0.819
10-Jan-19,0.848,0.851,0.863,0.836
9-Jan-19,0.867,0.873,0.892,0.847
8-Jan-19,0.87,0.862,0.891,0.86
7-Jan-19,0.869,0.866,0.872,0.842
4-Jan-19,0.854,0.814,0.866,0.807
3-Jan-19,0.8,0.799,0.83,0.792
2-Jan-19,0.799,0.865,0.867,0.784
1-Jan-19,0.877,0.877,0.877,0.877
31-Dec-18,0.877,0.877,0.877,0.877
28-Dec-18,0.873,0.873,0.89,0.862
27-Dec-18,0.86,0.877,0.88,0.847
25-Dec-18,0.871,0.871,0.871,0.871
24-Dec-18,0.871,0.871,0.871,0.871
21-Dec-18,0.868,0.833,0.878,0.833
20-Dec-18,0.835,0.838,0.855,0.82
19-Dec-18,0.859,0.854,0.876,0.848
18-Dec-18,0.859,0.872,0.879,0.854
17-Dec-18,0.882,0.898,0.905,0.879
14-Dec-18,0.888,0.885,0.906,0.864
13-Dec-18,0.893,0.876,0.91,0.846
12-Dec-18,0.862,0.841,0.866,0.831
11-Dec-18,0.829,0.842,0.881,0.826
10-Dec-18,0.838,0.859,0.882,0.834
7-Dec-18,0.882,0.893,0.913,0.876
6-Dec-18,0.88,0.927,0.927,0.865
5-Dec-18,0.926,0.908,0.934,0.891
4-Dec-18,0.914,0.973,0.973,0.91
3-Dec-18,0.975,0.997,1.02,0.972
30-Nov-18,0.986,0.999,1.002,0.975
29-Nov-18,0.999,1.011,1.015,0.989
28-Nov-18,1.013,1.014,1.028,1
27-Nov-18,1.017,1.004,1.022,0.992
26-Nov-18,1.016,1.003,1.023,0.997
23-Nov-18,0.999,1.038,1.047,0.984
22-Nov-18,1.041,1.041,1.05,1.018
21-Nov-18,1.04,1.014,1.045,1.013
20-Nov-18,1.016,1.045,1.051,1.006
19-Nov-18,1.051,1.036,1.067,1.033
16-Nov-18,1.033,1.03,1.045,1.028
15-Nov-18,1.03,1.058,1.067,1.021
14-Nov-18,1.053,1.041,1.074,1.036
13-Nov-18,1.061,1.05,1.063,1.033
12-Nov-18,1.054,1.043,1.054,1.023
11-Nov-18,1.091,1.046,1.091,1.046
9-Nov-18,1.043,1.083,1.084,1.042
8-Nov-18,1.087,1.092,1.102,1.08
7-Nov-18,1.076,1.068,1.091,1.051
6-Nov-18,1.068,1.067,1.074,1.044
5-Nov-18,1.059,1.077,1.081,1.056
2-Nov-18,1.069,1.036,1.08,1.036
1-Nov-18,1.039,1.023,1.051,1.021
31-Oct-18,1.021,1.028,1.048,1.018
30-Oct-18,1.017,1.031,1.057,1.015
29-Oct-18,1.034,0.994,1.044,0.986
26-Oct-18,0.997,1.024,1.024,0.979
25-Oct-18,1.03,1.012,1.04,1.01
24-Oct-18,1.031,1.034,1.043,1.013
23-Oct-18,1.029,1.06,1.06,1.023
22-Oct-18,1.069,1.076,1.1,1.054
19-Oct-18,1.073,1.063,1.079,1.035
18-Oct-18,1.064,1.107,1.118,1.059
17-Oct-18,1.099,1.118,1.122,1.086
16-Oct-18,1.117,1.128,1.144,1.109
15-Oct-18,1.128,1.118,1.139,1.107
12-Oct-18,1.122,1.145,1.16,1.12
11-Oct-18,1.139,1.121,1.151,1.118
10-Oct-18,1.171,1.151,1.193,1.144
9-Oct-18,1.171,1.172,1.201,1.153
8-Oct-18,1.16,1.185,1.191,1.14
5-Oct-18,1.184,1.131,1.188,1.128
4-Oct-18,1.126,1.14,1.155,1.102
3-Oct-18,1.089,1.075,1.101,1.064
2-Oct-18,1.053,1.1,1.1,1.043
1-Oct-18,1.1,1.076,1.126,1.076
28-Sep-18,1.082,1.096,1.102,1.058
27-Sep-18,1.124,1.111,1.128,1.095
26-Sep-18,1.138,1.161,1.166,1.138
25-Sep-18,1.163,1.156,1.173,1.149
24-Sep-18,1.143,1.12,1.157,1.112
21-Sep-18,1.122,1.137,1.144,1.115
20-Sep-18,1.13,1.14,1.157,1.13
19-Sep-18,1.143,1.136,1.151,1.124
18-Sep-18,1.13,1.101,1.136,1.085
17-Sep-18,1.105,1.11,1.128,1.103
16-Sep-18,1.091,1.091,1.094,1.09
14-Sep-18,1.11,1.094,1.129,1.091
13-Sep-18,1.093,1.081,1.114,1.078
12-Sep-18,1.086,1.108,1.112,1.079
11-Sep-18,1.107,1.089,1.117,1.085
10-Sep-18,1.083,1.067,1.095,1.058
7-Sep-18,1.064,1.028,1.071,1.026
6-Sep-18,1.031,1.058,1.065,1.025
5-Sep-18,1.054,1.035,1.074,1.025
4-Sep-18,1.035,1.015,1.04,1.015
3-Sep-18,1.018,1.014,1.024,0.994
31-Aug-18,1.006,1.024,1.039,1.003
30-Aug-18,1.02,1.08,1.085,1.019
29-Aug-18,1.08,1.054,1.09,1.045
28-Aug-18,1.053,1.046,1.073,1.031
27-Aug-18,1.048,1.008,1.053,0.992
24-Aug-18,1.016,1.011,1.03,1.004
23-Aug-18,1.005,0.997,1.016,0.994
22-Aug-18,1.002,0.988,1.015,0.98
21-Aug-18,0.994,0.973,0.998,0.966
20-Aug-18,0.969,0.968,0.984,0.963
17-Aug-18,0.973,0.975,0.985,0.951
16-Aug-18,0.983,0.982,0.988,0.963
15-Aug-18,0.969,0.995,1.006,0.957
14-Aug-18,0.993,0.987,1.003,0.983
13-Aug-18,0.98,0.976,0.996,0.97
10-Aug-18,0.984,1.036,1.036,0.977
9-Aug-18,1.042,1.056,1.069,1.039
8-Aug-18,1.058,1.059,1.069,1.05
7-Aug-18,1.057,1.041,1.066,1.038
6-Aug-18,1.04,1.061,1.071,1.036
4-Aug-18,1.061,1.061,1.061,1.061
3-Aug-18,1.06,1.104,1.111,1.057
2-Aug-18,1.111,1.12,1.133,1.1
1-Aug-18,1.13,1.089,1.141,1.089
31-Jul-18,1.093,1.068,1.112,1.065
30-Jul-18,1.105,1.065,1.118,1.052
27-Jul-18,1.063,1.062,1.074,1.052
26-Jul-18,1.057,1.045,1.074,1.044
25-Jul-18,1.044,1.041,1.056,1.034
24-Jul-18,1.058,1.073,1.086,1.049
23-Jul-18,1.072,1.049,1.078,1.04
20-Jul-18,1.044,1.008,1.048,0.989
19-Jul-18,1.007,1.03,1.036,1.004
18-Jul-18,1.019,1.016,1.028,0.999
17-Jul-18,1.014,1.028,1.034,1.011
16-Jul-18,1.025,1.012,1.043,1.008
13-Jul-18,1.011,1.013,1.02,0.988
12-Jul-18,1.017,1.019,1.035,1.008
11-Jul-18,1.019,1.014,1.028,1.001
10-Jul-18,1.036,1.03,1.048,1.027
9-Jul-18,1.021,1.002,1.047,1.002
6-Jul-18,0.999,0.988,1.017,0.986
5-Jul-18,0.988,1.01,1.038,0.986
4-Jul-18,1.008,1.002,1.02,0.983
3-Jul-18,0.995,1.026,1.043,0.984
2-Jul-18,1.022,1.017,1.028,1.008
29-Jun-18,1.02,1.071,1.078,1.018
28-Jun-18,1.055,1.065,1.077,1.041
27-Jun-18,1.07,1.115,1.116,1.067
26-Jun-18,1.118,1.104,1.133,1.09
25-Jun-18,1.099,1.097,1.124,1.079
22-Jun-18,1.121,1.124,1.141,1.107
21-Jun-18,1.12,1.157,1.162,1.097
20-Jun-18,1.151,1.142,1.155,1.127
19-Jun-18,1.138,1.144,1.158,1.118
18-Jun-18,1.178,1.16,1.19,1.151
17-Jun-18,1.171,1.171,1.171,1.171
16-Jun-18,1.171,1.171,1.171,1.171
15-Jun-18,1.165,1.164,1.174,1.126
14-Jun-18,1.173,1.169,1.194,1.15
13-Jun-18,1.177,1.179,1.183,1.152
12-Jun-18,1.18,1.186,1.206,1.173
11-Jun-18,1.186,1.164,1.201,1.141
8-Jun-18,1.132,1.143,1.152,1.095
7-Jun-18,1.165,1.159,1.199,1.159
6-Jun-18,1.147,1.109,1.157,1.095
5-Jun-18,1.107,1.113,1.113,1.074
4-Jun-18,1.114,1.09,1.118,1.068
1-Jun-18,1.085,1.055,1.106,1.053
31-May-18,1.041,1.072,1.123,1.026
30-May-18,1.09,1.005,1.102,1.005
29-May-18,1.001,1.069,1.084,0.916
28-May-18,1.065,1.157,1.177,1.053
25-May-18,1.131,1.18,1.187,1.113
24-May-18,1.18,1.223,1.248,1.168
23-May-18,1.226,1.252,1.256,1.204
22-May-18,1.262,1.225,1.274,1.224
21-May-18,1.225,1.283,1.286,1.216
20-May-18,1.271,1.271,1.271,1.271
18-May-18,1.285,1.334,1.342,1.275
17-May-18,1.336,1.316,1.338,1.291
16-May-18,1.29,1.311,1.314,1.27
15-May-18,1.317,1.288,1.323,1.284
14-May-18,1.279,1.239,1.289,1.231
11-May-18,1.24,1.239,1.25,1.223
10-May-18,1.243,1.246,1.258,1.219
9-May-18,1.247,1.25,1.273,1.244
8-May-18,1.246,1.212,1.253,1.21
7-May-18,1.213,1.232,1.234,1.204
4-May-18,1.234,1.22,1.239,1.212
3-May-18,1.221,1.255,1.271,1.215
2-May-18,1.257,1.247,1.271,1.245
1-May-18,1.238,1.235,1.238,1.235
30-Apr-18,1.234,1.239,1.258,1.232
27-Apr-18,1.236,1.247,1.253,1.225
26-Apr-18,1.255,1.293,1.298,1.245
25-Apr-18,1.295,1.291,1.313,1.289
24-Apr-18,1.293,1.288,1.321,1.275
23-Apr-18,1.3,1.283,1.305,1.278
20-Apr-18,1.263,1.245,1.281,1.237
19-Apr-18,1.252,1.202,1.259,1.198
18-Apr-18,1.189,1.178,1.197,1.157
17-Apr-18,1.175,1.198,1.207,1.171
16-Apr-18,1.197,1.189,1.225,1.188
14-Apr-18,1.179,1.18,1.18,1.179
13-Apr-18,1.182,1.182,1.206,1.175
12-Apr-18,1.19,1.154,1.19,1.146
11-Apr-18,1.156,1.164,1.17,1.132
10-Apr-18,1.168,1.168,1.177,1.15
9-Apr-18,1.167,1.161,1.178,1.158
6-Apr-18,1.165,1.177,1.184,1.151
5-Apr-18,1.188,1.165,1.202,1.162
4-Apr-18,1.156,1.165,1.167,1.128
3-Apr-18,1.16,1.143,1.181,1.141
2-Apr-18,1.161,1.161,1.161,1.161
30-Mar-18,1.153,1.153,1.153,1.153
29-Mar-18,1.158,1.155,1.171,1.147
28-Mar-18,1.151,1.138,1.16,1.12
27-Mar-18,1.147,1.176,1.185,1.144
26-Mar-18,1.166,1.169,1.194,1.164
24-Mar-18,1.166,1.164,1.166,1.164
23-Mar-18,1.165,1.161,1.187,1.149
22-Mar-18,1.168,1.206,1.209,1.154
21-Mar-18,1.223,1.218,1.238,1.211
20-Mar-18,1.221,1.218,1.233,1.206
19-Mar-18,1.216,1.224,1.248,1.206
16-Mar-18,1.224,1.23,1.24,1.209
15-Mar-18,1.232,1.251,1.255,1.219
14-Mar-18,1.254,1.266,1.291,1.24
