Date,Close,Open,High,Low
11-Mar-19,1.791,1.76,1.791,1.76
8-Mar-19,1.76,1.797,1.797,1.76
7-Mar-19,1.797,1.823,1.823,1.797
6-Mar-19,1.823,1.838,1.838,1.817
5-Mar-19,1.838,1.849,1.849,1.838
4-Mar-19,1.849,1.844,1.849,1.844
1-Mar-19,1.844,1.808,1.859,1.808
28-Feb-19,1.808,1.772,1.808,1.772
27-Feb-19,1.772,1.77,1.781,1.77
26-Feb-19,1.77,1.772,1.772,1.757
25-Feb-19,1.772,1.779,1.779,1.768
22-Feb-19,1.779,1.777,1.787,1.777
21-Feb-19,1.777,1.758,1.777,1.758
20-Feb-19,1.758,1.787,1.787,1.757
19-Feb-19,1.787,1.808,1.808,1.787
18-Feb-19,1.808,1.804,1.818,1.804
15-Feb-19,1.804,1.834,1.834,1.804
14-Feb-19,1.834,1.86,1.86,1.829
13-Feb-19,1.86,1.83,1.86,1.83
12-Feb-19,1.83,1.766,1.83,1.766
11-Feb-19,1.766,1.747,1.766,1.742
8-Feb-19,1.747,1.845,1.845,1.747
7-Feb-19,1.845,1.845,1.845,1.845
6-Feb-19,1.845,1.845,1.845,1.845
5-Feb-19,1.845,1.845,1.845,1.845
4-Feb-19,1.845,1.805,1.856,1.805
1-Feb-19,1.805,1.837,1.837,1.805
31-Jan-19,1.837,1.924,1.924,1.837
30-Jan-19,1.924,1.934,1.934,1.924
29-Jan-19,1.934,1.97,1.97,1.934
28-Jan-19,1.97,1.986,1.986,1.97
25-Jan-19,1.986,1.977,1.986,1.977
24-Jan-19,1.977,2.007,2.007,1.977
23-Jan-19,2.007,2.039,2.039,2.007
22-Jan-19,2.039,2.07,2.07,2.039
21-Jan-19,2.07,2.002,2.07,2.002
18-Jan-19,2.002,2.002,2.042,2.002
17-Jan-19,2.002,2.034,2.034,2.002
16-Jan-19,2.034,2.018,2.034,2.018
15-Jan-19,2.018,1.975,2.018,1.975
14-Jan-19,1.975,1.999,1.999,1.967
11-Jan-19,1.999,1.987,2.008,1.987
10-Jan-19,1.987,2.024,2.024,1.987
9-Jan-19,2.024,1.997,2.034,1.997
8-Jan-19,1.997,1.946,1.997,1.946
7-Jan-19,1.946,1.874,1.951,1.874
4-Jan-19,1.874,1.926,1.926,1.849
3-Jan-19,1.926,1.963,1.963,1.926
2-Jan-19,1.963,1.975,1.975,1.963
1-Jan-19,1.975,1.975,1.975,1.975
31-Dec-18,1.975,2.056,2.056,1.975
28-Dec-18,2.056,2.067,2.067,2.056
27-Dec-18,2.067,2.082,2.082,2.067
26-Dec-18,2.082,2.082,2.082,2.082
25-Dec-18,2.082,2.082,2.082,2.082
24-Dec-18,2.082,2.082,2.082,2.082
21-Dec-18,2.082,2.02,2.082,2.02
20-Dec-18,2.02,2.093,2.093,2.02
19-Dec-18,2.093,2.098,2.098,2.062
18-Dec-18,2.098,2.135,2.135,2.098
17-Dec-18,2.135,2.178,2.178,2.135
14-Dec-18,2.178,2.156,2.209,2.156
13-Dec-18,2.156,2.156,2.177,2.156
12-Dec-18,2.156,2.119,2.156,2.119
11-Dec-18,2.119,2.061,2.119,2.061
10-Dec-18,2.061,2.104,2.104,2.041
7-Dec-18,2.104,2.151,2.151,2.104
6-Dec-18,2.151,2.216,2.216,2.141
5-Dec-18,2.216,2.241,2.241,2.216
4-Dec-18,2.241,2.315,2.315,2.241
3-Dec-18,2.315,2.299,2.315,2.299
30-Nov-18,2.299,2.337,2.337,2.299
29-Nov-18,2.337,2.337,2.337,2.316
28-Nov-18,2.337,2.337,2.337,2.337
27-Nov-18,2.337,2.318,2.337,2.318
26-Nov-18,2.318,2.326,2.326,2.318
23-Nov-18,2.326,2.321,2.335,2.321
22-Nov-18,2.321,2.32,2.321,2.311
21-Nov-18,2.32,2.299,2.32,2.299
20-Nov-18,2.299,2.32,2.32,2.299
19-Nov-18,2.32,2.351,2.351,2.306
16-Nov-18,2.351,2.369,2.369,2.347
15-Nov-18,2.369,2.395,2.395,2.347
14-Nov-18,2.395,2.434,2.434,2.395
13-Nov-18,2.434,2.482,2.482,2.434
12-Nov-18,2.482,2.483,2.483,2.481
9-Nov-18,2.483,2.476,2.483,2.476
8-Nov-18,2.476,2.443,2.491,2.443
7-Nov-18,2.46,2.443,2.491,2.443
6-Nov-18,2.443,2.46,2.46,2.443
5-Nov-18,2.46,2.454,2.465,2.454
2-Nov-18,2.454,2.449,2.454,2.424
1-Nov-18,2.449,2.443,2.454,2.443
31-Oct-18,2.443,2.411,2.443,2.411
30-Oct-18,2.411,2.375,2.411,2.375
29-Oct-18,2.375,2.411,2.411,2.375
26-Oct-18,2.411,2.432,2.432,2.411
25-Oct-18,2.432,2.459,2.459,2.422
24-Oct-18,2.459,2.464,2.466,2.459
23-Oct-18,2.464,2.502,2.502,2.464
22-Oct-18,2.502,2.486,2.502,2.486
19-Oct-18,2.486,2.502,2.502,2.486
18-Oct-18,2.502,2.469,2.502,2.469
17-Oct-18,2.453,2.469,2.469,2.453
16-Oct-18,2.469,2.443,2.469,2.443
15-Oct-18,2.443,2.488,2.488,2.443
12-Oct-18,2.488,2.496,2.496,2.488
11-Oct-18,2.496,2.55,2.55,2.491
10-Oct-18,2.55,2.577,2.577,2.54
9-Oct-18,2.577,2.561,2.577,2.561
8-Oct-18,2.561,2.518,2.561,2.518
