Date,Close,Open,High,Low
11-Mar-19,7.764,7.764,7.764,7.764
8-Mar-19,7.793,7.793,7.793,7.793
7-Mar-19,7.781,7.781,7.781,7.781
6-Mar-19,7.779,7.779,7.779,7.779
5-Mar-19,7.788,7.788,7.788,7.788
1-Mar-19,7.79,7.791,7.791,7.781
28-Feb-19,7.758,7.758,7.758,7.758
27-Feb-19,7.808,7.808,7.808,7.808
26-Feb-19,7.766,7.766,7.766,7.766
25-Feb-19,7.759,7.759,7.759,7.759
22-Feb-19,7.745,7.745,7.745,7.745
21-Feb-19,7.722,7.722,7.722,7.722
20-Feb-19,7.746,7.746,7.746,7.746
18-Feb-19,7.761,7.761,7.761,7.761
15-Feb-19,7.715,7.715,7.715,7.715
14-Feb-19,7.665,7.665,7.665,7.665
13-Feb-19,7.659,7.672,7.672,7.659
12-Feb-19,7.698,7.698,7.698,7.698
11-Feb-19,7.669,7.681,7.681,7.669
8-Feb-19,7.671,7.719,7.719,7.671
7-Feb-19,7.635,7.635,7.635,7.635
6-Feb-19,7.668,7.668,7.668,7.668
5-Feb-19,7.74,7.74,7.74,7.74
4-Feb-19,7.711,7.711,7.711,7.711
1-Feb-19,7.701,7.701,7.701,7.701
31-Jan-19,7.66,7.66,7.66,7.66
30-Jan-19,7.668,7.719,7.719,7.668
29-Jan-19,7.65,7.65,7.65,7.65
28-Jan-19,7.665,7.665,7.665,7.665
25-Jan-19,7.663,7.663,7.663,7.663
24-Jan-19,7.666,7.666,7.666,7.666
23-Jan-19,7.661,7.661,7.661,7.661
22-Jan-19,7.649,7.718,7.718,7.649
21-Jan-19,7.733,7.78,7.78,7.733
18-Jan-19,7.71,7.737,7.737,7.71
17-Jan-19,7.681,7.681,7.7,7.672
16-Jan-19,7.667,7.668,7.718,7.667
15-Jan-19,7.633,7.633,7.633,7.633
14-Jan-19,7.611,7.653,7.653,7.611
11-Jan-19,7.634,7.634,7.634,7.634
10-Jan-19,7.638,7.681,7.681,7.638
9-Jan-19,7.609,7.634,7.634,7.609
8-Jan-19,7.634,7.657,7.657,7.634
7-Jan-19,7.634,7.671,7.69,7.634
4-Jan-19,7.648,7.681,7.681,7.646
3-Jan-19,7.656,7.662,7.662,7.653
2-Jan-19,7.616,7.666,7.666,7.611
1-Jan-19,7.627,7.634,7.705,7.616
31-Dec-18,7.61,7.671,7.671,7.61
28-Dec-18,7.611,7.611,7.667,7.607
27-Dec-18,7.549,7.549,7.549,7.549
26-Dec-18,7.55,7.55,7.55,7.55
24-Dec-18,7.557,7.557,7.557,7.557
21-Dec-18,7.612,7.612,7.612,7.612
20-Dec-18,7.6,7.6,7.6,7.6
19-Dec-18,7.597,7.602,7.602,7.597
18-Dec-18,7.636,7.699,7.699,7.636
17-Dec-18,7.68,7.708,7.708,7.68
14-Dec-18,7.675,7.718,7.718,7.675
13-Dec-18,7.663,7.69,7.69,7.663
12-Dec-18,7.724,7.699,7.724,7.694
11-Dec-18,7.814,7.814,7.814,7.814
10-Dec-18,7.765,7.774,7.788,7.765
7-Dec-18,7.808,7.808,7.808,7.808
6-Dec-18,7.787,7.787,7.787,7.787
5-Dec-18,7.807,7.86,7.86,7.807
4-Dec-18,7.831,7.865,7.869,7.831
3-Dec-18,7.863,7.898,7.898,7.863
30-Nov-18,7.867,7.879,7.879,7.855
29-Nov-18,7.837,7.908,7.908,7.837
28-Nov-18,7.867,7.898,7.898,7.867
27-Nov-18,7.996,7.996,7.996,7.996
26-Nov-18,7.924,7.924,7.924,7.924
22-Nov-18,8.017,8.017,8.017,8.017
20-Nov-18,8.026,8.026,8.026,8.026
19-Nov-18,8,8.035,8.035,8
16-Nov-18,8.052,8.02,8.08,8.02
15-Nov-18,8.012,8.035,8.035,8.012
14-Nov-18,8.038,8.038,8.038,8.038
13-Nov-18,8.08,8.08,8.08,8.08
12-Nov-18,8.107,8.107,8.107,8.107
9-Nov-18,8.076,8.076,8.076,8.076
6-Nov-18,8.136,8.13,8.136,8.115
5-Nov-18,8.131,8.12,8.131,8.105
2-Nov-18,8.11,8.13,8.13,8.095
1-Nov-18,8.163,8.196,8.196,8.163
31-Oct-18,8.186,8.217,8.217,8.186
30-Oct-18,8.181,8.196,8.25,8.181
29-Oct-18,8.171,8.196,8.196,8.166
26-Oct-18,8.193,8.273,8.273,8.193
25-Oct-18,8.183,8.183,8.183,8.183
24-Oct-18,8.212,8.258,8.258,8.212
23-Oct-18,8.254,8.268,8.299,8.254
22-Oct-18,8.254,8.278,8.278,8.254
19-Oct-18,8.247,8.31,8.31,8.247
17-Oct-18,8.272,8.294,8.304,8.272
16-Oct-18,8.263,8.325,8.325,8.263
15-Oct-18,8.307,8.351,8.351,8.307
12-Oct-18,8.31,8.388,8.388,8.31
11-Oct-18,8.336,8.351,8.373,8.336
10-Oct-18,8.345,8.345,8.345,8.345
9-Oct-18,8.393,8.362,8.393,8.362
8-Oct-18,8.322,8.32,8.362,8.32
5-Oct-18,8.341,8.341,8.341,8.341
4-Oct-18,8.383,8.383,8.383,8.383
3-Oct-18,8.341,8.358,8.362,8.341
1-Oct-18,8.227,8.32,8.32,8.227
28-Sep-18,8.25,8.273,8.325,8.25
27-Sep-18,8.251,8.302,8.302,8.251
26-Sep-18,8.252,8.3,8.3,8.252
25-Sep-18,8.349,8.349,8.349,8.349
24-Sep-18,8.327,8.34,8.34,8.324
21-Sep-18,8.307,8.377,8.382,8.307
19-Sep-18,8.339,8.387,8.387,8.324
18-Sep-18,8.308,8.392,8.392,8.308
17-Sep-18,8.35,8.371,8.413,8.35
14-Sep-18,8.363,8.363,8.363,8.363
12-Sep-18,8.376,8.466,8.466,8.376
11-Sep-18,8.408,8.408,8.408,8.408
10-Sep-18,8.37,8.434,8.434,8.37
7-Sep-18,8.307,8.307,8.307,8.307
6-Sep-18,8.323,8.36,8.36,8.323
5-Sep-18,8.313,8.339,8.391,8.313
4-Sep-18,8.318,8.297,8.349,8.286
3-Sep-18,8.25,8.266,8.297,8.25
31-Aug-18,8.246,8.255,8.286,8.245
30-Aug-18,8.233,8.255,8.255,8.233
29-Aug-18,8.226,8.255,8.255,8.221
28-Aug-18,8.22,8.24,8.245,8.215
27-Aug-18,8.213,8.229,8.24,8.203
24-Aug-18,8.206,8.204,8.236,8.193
23-Aug-18,8.24,8.153,8.24,8.142
21-Aug-18,8.103,8.122,8.127,8.103
20-Aug-18,8.183,8.183,8.183,8.183
16-Aug-18,8.193,8.15,8.193,8.142
14-Aug-18,8.08,8.117,8.152,8.08
13-Aug-18,8.107,8.138,8.138,8.107
10-Aug-18,8.133,8.112,8.133,8.097
9-Aug-18,8.13,8.122,8.13,8.087
8-Aug-18,8.1,8.127,8.152,8.1
7-Aug-18,8.127,8.102,8.142,8.102
6-Aug-18,8.075,8.101,8.101,8.075
3-Aug-18,8.094,8.127,8.137,8.094
2-Aug-18,8.08,8.061,8.081,8.061
1-Aug-18,8.014,8.014,8.014,8.014
31-Jul-18,8.119,8.121,8.142,8.086
30-Jul-18,8.191,8.141,8.191,8.121
27-Jul-18,8.19,8.142,8.19,8.142
26-Jul-18,8.096,8.126,8.131,8.096
25-Jul-18,8.113,8.151,8.151,8.113
24-Jul-18,8.102,8.146,8.161,8.102
23-Jul-18,8.131,8.111,8.141,8.111
20-Jul-18,8.07,8.172,8.172,8.07
19-Jul-18,8.11,8.096,8.11,8.096
18-Jul-18,8.051,8.096,8.096,8.051
17-Jul-18,8.071,8.101,8.101,8.071
16-Jul-18,8.111,8.141,8.192,8.111
13-Jul-18,8.121,8.101,8.15,8.101
12-Jul-18,8.111,8.141,8.141,8.111
11-Jul-18,8.141,8.16,8.161,8.141
10-Jul-18,8.117,8.117,8.117,8.117
9-Jul-18,8.141,8.151,8.171,8.131
6-Jul-18,8.077,8.151,8.171,8.077
5-Jul-18,8.104,8.12,8.131,8.095
4-Jul-18,8.085,8.145,8.145,8.085
3-Jul-18,8.061,8.12,8.151,8.061
2-Jul-18,8.095,8.141,8.141,8.095
29-Jun-18,8.095,8.13,8.151,8.095
28-Jun-18,8.12,8.13,8.159,8.12
27-Jun-18,8.1,8.1,8.13,8.1
26-Jun-18,8.07,8.1,8.12,8.07
25-Jun-18,8.085,8.115,8.115,8.07
22-Jun-18,8.04,8.09,8.09,8.04
21-Jun-18,8.108,8.108,8.108,8.108
20-Jun-18,8.135,8.135,8.135,8.135
19-Jun-18,8.153,8.153,8.153,8.153
18-Jun-18,8.167,8.167,8.167,8.167
15-Jun-18,8.067,8.067,8.067,8.067
14-Jun-18,8.141,8.141,8.141,8.141
13-Jun-18,8.124,8.124,8.124,8.124
12-Jun-18,8.16,8.16,8.16,8.16
11-Jun-18,8.167,8.167,8.167,8.167
8-Jun-18,8.215,8.215,8.215,8.215
7-Jun-18,8.224,8.224,8.224,8.224
6-Jun-18,8.137,8.137,8.137,8.137
5-Jun-18,8.121,8.121,8.121,8.121
4-Jun-18,8.174,8.174,8.174,8.174
1-Jun-18,8.137,8.137,8.137,8.137
31-May-18,8.134,8.134,8.134,8.134
30-May-18,8.097,8.097,8.097,8.097
29-May-18,8.073,8.073,8.073,8.073
28-May-18,8.017,8.074,8.074,8.017
25-May-18,7.973,7.973,7.973,7.973
24-May-18,8.084,8.084,8.084,8.084
23-May-18,8.11,8.11,8.11,8.11
22-May-18,8.063,8.063,8.063,8.063
21-May-18,8.087,8.087,8.087,8.087
20-May-18,8.111,8.111,8.111,8.111
18-May-18,8.111,8.111,8.111,8.111
17-May-18,8.114,8.114,8.114,8.114
16-May-18,8.002,8.002,8.002,8.002
15-May-18,8.011,8.011,8.011,8.011
14-May-18,8.046,8.046,8.046,8.046
11-May-18,7.943,7.943,7.943,7.943
10-May-18,7.968,7.968,7.968,7.968
9-May-18,7.965,7.965,7.965,7.965
8-May-18,7.842,7.842,7.842,7.842
7-May-18,7.914,7.914,7.914,7.914
5-May-18,7.96,7.96,7.96,7.96
4-May-18,7.96,7.96,7.96,7.96
3-May-18,7.96,7.96,7.96,7.96
2-May-18,8.002,8.002,8.002,8.002
27-Apr-18,8.021,8.021,8.021,8.021
26-Apr-18,8.011,8.011,8.011,8.011
25-Apr-18,8.01,8.01,8.01,8.01
24-Apr-18,8.051,8.051,8.051,8.051
23-Apr-18,8.088,8.088,8.088,8.088
20-Apr-18,7.866,7.866,7.866,7.866
19-Apr-18,7.846,7.846,7.846,7.846
18-Apr-18,7.745,7.745,7.745,7.745
17-Apr-18,7.816,7.816,7.816,7.816
16-Apr-18,7.771,7.771,7.771,7.771
13-Apr-18,7.65,7.65,7.65,7.65
12-Apr-18,7.761,7.761,7.761,7.761
11-Apr-18,7.834,7.834,7.834,7.834
10-Apr-18,7.648,7.648,7.648,7.648
9-Apr-18,7.553,7.553,7.553,7.553
6-Apr-18,7.524,7.524,7.524,7.524
5-Apr-18,7.543,7.543,7.543,7.543
4-Apr-18,7.617,7.617,7.617,7.617
3-Apr-18,7.632,7.632,7.632,7.632
28-Mar-18,7.632,7.632,7.632,7.632
27-Mar-18,7.683,7.683,7.683,7.683
26-Mar-18,7.918,7.918,7.918,7.918
23-Mar-18,7.875,7.875,7.875,7.875
22-Mar-18,7.886,7.886,7.886,7.886
21-Mar-18,7.872,7.872,7.872,7.872
20-Mar-18,7.902,7.902,7.902,7.902
19-Mar-18,7.892,7.892,7.892,7.892
16-Mar-18,7.897,7.94,7.94,7.897
15-Mar-18,7.941,7.95,7.95,7.941
14-Mar-18,7.95,7.95,7.95,7.95
13-Mar-18,7.936,7.916,7.936,7.916
12-Mar-18,7.916,7.936,7.936,7.916
9-Mar-18,7.943,7.973,7.973,7.943
8-Mar-18,7.934,7.925,7.934,7.925
7-Mar-18,7.947,7.976,7.976,7.947
6-Mar-18,7.991,7.991,7.991,7.991
5-Mar-18,7.991,7.976,7.991,7.976
1-Mar-18,7.96,7.96,7.96,7.96
28-Feb-18,7.95,7.971,7.971,7.95
27-Feb-18,7.961,7.979,7.979,7.961
26-Feb-18,7.974,7.964,7.974,7.964
23-Feb-18,7.959,7.974,7.974,7.959
22-Feb-18,7.998,8.018,8.018,7.998
21-Feb-18,7.964,7.935,7.964,7.935
20-Feb-18,7.935,7.925,7.935,7.925
18-Feb-18,7.896,7.896,7.896,7.896
16-Feb-18,7.896,7.881,7.896,7.881
15-Feb-18,7.871,7.86,7.871,7.86
14-Feb-18,7.817,7.844,7.844,7.817
12-Feb-18,7.844,7.835,7.844,7.835
9-Feb-18,7.839,7.823,7.839,7.823
8-Feb-18,7.826,7.826,7.826,7.826
7-Feb-18,7.85,7.886,7.886,7.85
6-Feb-18,7.874,7.87,7.874,7.87
5-Feb-18,7.882,7.877,7.882,7.877
2-Feb-18,7.839,7.849,7.849,7.839
1-Feb-18,7.82,7.777,7.82,7.777
31-Jan-18,7.721,7.721,7.721,7.721
30-Jan-18,7.735,7.725,7.735,7.725
29-Jan-18,7.749,7.721,7.749,7.721
25-Jan-18,7.702,7.711,7.711,7.702
24-Jan-18,7.686,7.665,7.686,7.665
23-Jan-18,7.651,7.659,7.659,7.651
22-Jan-18,7.677,7.698,7.698,7.677
19-Jan-18,7.684,7.727,7.727,7.684
18-Jan-18,7.72,7.707,7.72,7.707
17-Jan-18,7.688,7.699,7.699,7.688
16-Jan-18,7.769,7.762,7.769,7.762
15-Jan-18,7.697,7.697,7.697,7.697
12-Jan-18,7.697,7.688,7.697,7.688
11-Jan-18,7.688,7.688,7.688,7.688
10-Jan-18,7.688,7.669,7.688,7.669
9-Jan-18,7.633,7.628,7.633,7.628
8-Jan-18,7.624,7.619,7.624,7.619
5-Jan-18,7.615,7.656,7.656,7.615
4-Jan-18,7.665,7.676,7.676,7.665
3-Jan-18,7.669,7.674,7.674,7.669
2-Jan-18,7.674,7.669,7.674,7.669
1-Jan-18,7.642,7.633,7.642,7.633
29-Dec-17,7.642,7.743,7.743,7.642
28-Dec-17,7.695,7.584,7.695,7.584
27-Dec-17,7.503,7.523,7.523,7.503
26-Dec-17,7.519,7.532,7.532,7.519
22-Dec-17,7.517,7.517,7.517,7.517
21-Dec-17,7.499,7.518,7.518,7.499
20-Dec-17,7.499,7.506,7.506,7.499
19-Dec-17,7.494,7.494,7.494,7.494
18-Dec-17,7.494,7.49,7.494,7.49
16-Dec-17,7.481,7.481,7.481,7.481
15-Dec-17,7.481,7.471,7.481,7.471
14-Dec-17,7.484,7.444,7.484,7.444
13-Dec-17,7.453,7.471,7.471,7.453
12-Dec-17,7.479,7.495,7.495,7.479
11-Dec-17,7.473,7.449,7.473,7.449
8-Dec-17,7.449,7.449,7.449,7.449
7-Dec-17,7.44,7.431,7.44,7.431
6-Dec-17,7.444,7.497,7.497,7.444
5-Dec-17,7.484,7.484,7.484,7.484
4-Dec-17,7.515,7.502,7.515,7.502
30-Nov-17,7.484,7.48,7.484,7.48
29-Nov-17,7.458,7.462,7.462,7.458
28-Nov-17,7.466,7.466,7.466,7.466
27-Nov-17,7.466,7.474,7.474,7.466
24-Nov-17,7.461,7.474,7.474,7.461
23-Nov-17,7.464,7.466,7.466,7.464
22-Nov-17,7.436,7.431,7.436,7.431
21-Nov-17,7.405,7.402,7.405,7.402
20-Nov-17,7.401,7.394,7.401,7.394
17-Nov-17,7.427,7.402,7.427,7.402
16-Nov-17,7.444,7.429,7.444,7.429
15-Nov-17,7.414,7.414,7.414,7.414
14-Nov-17,7.425,7.429,7.429,7.425
13-Nov-17,7.383,7.379,7.383,7.379
10-Nov-17,7.379,7.373,7.379,7.373
9-Nov-17,7.372,7.362,7.372,7.362
8-Nov-17,7.37,7.349,7.37,7.349
7-Nov-17,7.349,7.37,7.37,7.349
6-Nov-17,7.353,7.351,7.353,7.351
3-Nov-17,7.332,7.308,7.332,7.308
2-Nov-17,7.326,7.316,7.326,7.316
1-Nov-17,7.316,7.312,7.316,7.312
31-Oct-17,7.312,7.314,7.314,7.312
30-Oct-17,7.349,7.323,7.349,7.323
29-Oct-17,7.31,7.31,7.31,7.31
27-Oct-17,7.31,7.318,7.318,7.31
26-Oct-17,7.306,7.314,7.314,7.306
25-Oct-17,7.32,7.318,7.32,7.318
24-Oct-17,7.301,7.303,7.303,7.301
23-Oct-17,7.31,7.321,7.321,7.31
22-Oct-17,7.306,7.306,7.306,7.306
18-Oct-17,7.306,7.302,7.306,7.302
17-Oct-17,7.302,7.302,7.302,7.302
16-Oct-17,7.292,7.302,7.302,7.292
13-Oct-17,7.288,7.298,7.298,7.288
12-Oct-17,7.345,7.345,7.345,7.345
11-Oct-17,7.345,7.353,7.353,7.345
10-Oct-17,7.353,7.341,7.353,7.341
9-Oct-17,7.349,7.343,7.349,7.343
6-Oct-17,7.345,7.336,7.345,7.336
5-Oct-17,7.336,7.336,7.336,7.336
4-Oct-17,7.31,7.259,7.31,7.259
3-Oct-17,7.259,7.274,7.274,7.259
29-Sep-17,7.289,7.275,7.289,7.275
28-Sep-17,7.28,7.293,7.293,7.28
27-Sep-17,7.297,7.28,7.297,7.28
26-Sep-17,7.293,7.276,7.293,7.276
25-Sep-17,7.257,7.263,7.263,7.257
22-Sep-17,7.281,7.3,7.3,7.281
21-Sep-17,7.284,7.225,7.284,7.225
20-Sep-17,7.208,7.213,7.213,7.208
19-Sep-17,7.208,7.225,7.225,7.208
18-Sep-17,7.204,7.196,7.204,7.196
15-Sep-17,7.2,7.179,7.2,7.179
14-Sep-17,7.161,7.166,7.166,7.161
