Date,Close,Open,High,Low
11-Mar-19,0.587,0.589,0.589,0.581
10-Mar-19,0.589,0.585,0.589,0.585
8-Mar-19,0.584,0.607,0.609,0.58
7-Mar-19,0.619,0.629,0.63,0.617
6-Mar-19,0.632,0.645,0.646,0.631
5-Mar-19,0.64,0.638,0.646,0.635
4-Mar-19,0.641,0.632,0.642,0.63
3-Mar-19,0.631,0.63,0.631,0.63
1-Mar-19,0.621,0.62,0.641,0.616
28-Feb-19,0.605,0.611,0.615,0.601
27-Feb-19,0.606,0.606,0.612,0.597
26-Feb-19,0.601,0.587,0.607,0.585
25-Feb-19,0.58,0.579,0.585,0.579
24-Feb-19,0.583,0.58,0.583,0.58
22-Feb-19,0.576,0.574,0.579,0.56
21-Feb-19,0.571,0.581,0.582,0.566
20-Feb-19,0.581,0.575,0.587,0.573
19-Feb-19,0.586,0.599,0.606,0.585
18-Feb-19,0.595,0.597,0.6,0.592
17-Feb-19,0.596,0.596,0.596,0.596
15-Feb-19,0.595,0.606,0.606,0.592
14-Feb-19,0.621,0.624,0.63,0.615
13-Feb-19,0.62,0.608,0.626,0.606
12-Feb-19,0.606,0.587,0.607,0.582
11-Feb-19,0.587,0.586,0.587,0.586
8-Feb-19,0.58,0.611,0.611,0.58
7-Feb-19,0.611,0.598,0.625,0.592
6-Feb-19,0.596,0.603,0.603,0.587
5-Feb-19,0.596,0.613,0.618,0.596
4-Feb-19,0.606,0.614,0.617,0.602
3-Feb-19,0.612,0.614,0.614,0.612
1-Feb-19,0.601,0.641,0.641,0.6
31-Jan-19,0.646,0.654,0.654,0.64
30-Jan-19,0.661,0.655,0.666,0.655
29-Jan-19,0.651,0.65,0.655,0.641
28-Jan-19,0.651,0.661,0.662,0.651
27-Jan-19,0.66,0.659,0.66,0.659
25-Jan-19,0.656,0.657,0.663,0.654
24-Jan-19,0.665,0.674,0.677,0.661
23-Jan-19,0.671,0.682,0.689,0.671
22-Jan-19,0.681,0.691,0.694,0.679
21-Jan-19,0.696,0.705,0.708,0.695
20-Jan-19,0.704,0.704,0.704,0.704
18-Jan-19,0.696,0.701,0.706,0.695
17-Jan-19,0.696,0.699,0.702,0.695
16-Jan-19,0.696,0.7,0.703,0.686
15-Jan-19,0.701,0.694,0.709,0.692
14-Jan-19,0.694,0.694,0.694,0.694
11-Jan-19,0.7,0.715,0.721,0.696
10-Jan-19,0.694,0.704,0.71,0.691
9-Jan-19,0.704,0.697,0.705,0.691
8-Jan-19,0.69,0.694,0.699,0.686
7-Jan-19,0.681,0.684,0.69,0.673
6-Jan-19,0.687,0.682,0.687,0.682
4-Jan-19,0.659,0.688,0.688,0.644
3-Jan-19,0.668,0.697,0.697,0.668
28-Dec-18,0.71,0.719,0.73,0.705
27-Dec-18,0.731,0.739,0.741,0.726
26-Dec-18,0.715,0.712,0.727,0.704
25-Dec-18,0.706,0.738,0.74,0.7
24-Dec-18,0.724,0.743,0.743,0.724
21-Dec-18,0.746,0.73,0.75,0.719
20-Dec-18,0.724,0.752,0.753,0.715
19-Dec-18,0.756,0.751,0.771,0.745
18-Dec-18,0.759,0.771,0.775,0.759
17-Dec-18,0.775,0.773,0.781,0.769
16-Dec-18,0.777,0.771,0.777,0.771
14-Dec-18,0.784,0.799,0.802,0.784
13-Dec-18,0.799,0.8,0.807,0.795
12-Dec-18,0.796,0.798,0.803,0.785
11-Dec-18,0.796,0.793,0.805,0.793
10-Dec-18,0.793,0.803,0.805,0.792
9-Dec-18,0.802,0.802,0.802,0.802
7-Dec-18,0.809,0.796,0.815,0.794
6-Dec-18,0.787,0.791,0.801,0.774
5-Dec-18,0.794,0.767,0.796,0.764
4-Dec-18,0.785,0.806,0.807,0.781
3-Dec-18,0.812,0.815,0.821,0.811
2-Dec-18,0.819,0.813,0.819,0.813
30-Nov-18,0.816,0.805,0.817,0.802
29-Nov-18,0.813,0.831,0.836,0.812
28-Nov-18,0.828,0.81,0.828,0.809
27-Nov-18,0.811,0.817,0.818,0.811
26-Nov-18,0.816,0.825,0.826,0.816
25-Nov-18,0.825,0.825,0.825,0.825
22-Nov-18,0.827,0.83,0.834,0.817
21-Nov-18,0.832,0.844,0.852,0.832
20-Nov-18,0.85,0.836,0.851,0.835
19-Nov-18,0.842,0.857,0.859,0.841
18-Nov-18,0.856,0.858,0.858,0.856
16-Nov-18,0.861,0.854,0.864,0.854
15-Nov-18,0.866,0.865,0.876,0.863
14-Nov-18,0.871,0.875,0.881,0.862
