Date,Close,Open,High,Low
11-Mar-19,9.715,9.725,9.76,9.705
8-Mar-19,9.725,9.725,9.725,9.725
7-Mar-19,9.72,9.72,9.72,9.72
6-Mar-19,9.735,9.735,9.735,9.735
5-Mar-19,9.715,9.715,9.715,9.715
4-Mar-19,9.805,9.805,9.805,9.805
1-Mar-19,9.85,9.85,9.85,9.85
28-Feb-19,9.82,9.82,9.82,9.82
27-Feb-19,9.76,9.76,9.76,9.76
26-Feb-19,9.755,9.755,9.755,9.755
25-Feb-19,9.83,9.83,9.83,9.83
22-Feb-19,9.795,9.795,9.795,9.795
21-Feb-19,9.92,9.92,9.92,9.92
20-Feb-19,9.9,9.9,9.9,9.9
19-Feb-19,9.945,9.945,9.945,9.945
18-Feb-19,9.91,9.91,9.91,9.91
15-Feb-19,9.915,9.915,9.915,9.915
14-Feb-19,10,10,10,10
13-Feb-19,9.945,9.945,9.945,9.945
12-Feb-19,9.86,9.86,9.86,9.86
11-Feb-19,9.84,9.84,9.84,9.84
8-Feb-19,9.665,9.665,9.665,9.665
7-Feb-19,9.67,9.67,9.67,9.67
6-Feb-19,9.675,9.675,9.675,9.675
5-Feb-19,9.65,9.65,9.65,9.65
4-Feb-19,9.68,9.68,9.68,9.68
1-Feb-19,9.655,9.655,9.655,9.655
31-Jan-19,9.625,9.625,9.625,9.625
30-Jan-19,9.785,9.785,9.785,9.785
29-Jan-19,9.815,9.815,9.815,9.815
28-Jan-19,9.815,9.815,9.815,9.815
27-Jan-19,9.755,9.755,9.755,9.755
25-Jan-19,9.755,9.755,9.755,9.755
24-Jan-19,9.835,9.835,9.835,9.835
23-Jan-19,9.9,9.9,9.9,9.9
22-Jan-19,9.91,9.91,9.91,9.91
21-Jan-19,9.955,9.955,9.955,9.955
18-Jan-19,9.925,9.925,9.925,9.925
17-Jan-19,9.81,9.81,9.81,9.81
16-Jan-19,9.785,9.785,9.785,9.785
15-Jan-19,9.805,9.805,9.805,9.805
14-Jan-19,9.785,9.785,9.785,9.785
11-Jan-19,9.755,9.755,9.755,9.755
10-Jan-19,9.75,9.75,9.75,9.75
9-Jan-19,9.755,9.755,9.755,9.755
8-Jan-19,9.825,9.825,9.825,9.825
7-Jan-19,9.77,9.77,9.77,9.77
4-Jan-19,9.78,9.78,9.78,9.78
3-Jan-19,9.85,9.85,9.85,9.85
2-Jan-19,9.96,9.96,9.96,9.96
31-Dec-18,9.91,9.91,9.91,9.91
28-Dec-18,9.93,9.93,9.93,9.93
27-Dec-18,9.97,9.97,9.97,9.97
24-Dec-18,10.04,10.04,10.04,10.04
21-Dec-18,10.04,10.04,10.04,10.04
20-Dec-18,10.035,10.035,10.035,10.035
19-Dec-18,10.09,10.09,10.09,10.09
18-Dec-18,10.16,10.16,10.16,10.16
14-Dec-18,10.23,10.23,10.23,10.23
13-Dec-18,10.165,10.165,10.165,10.165
12-Dec-18,10.155,10.155,10.155,10.155
11-Dec-18,10.165,10.165,10.165,10.165
10-Dec-18,10.14,10.14,10.14,10.14
7-Dec-18,10.01,10.01,10.01,10.01
6-Dec-18,10.01,10.01,10.01,10.01
5-Dec-18,9.905,9.905,9.905,9.905
4-Dec-18,9.875,9.875,9.875,9.875
3-Dec-18,9.835,9.835,9.835,9.835
30-Nov-18,9.85,9.85,9.85,9.85
29-Nov-18,9.815,9.815,9.815,9.815
28-Nov-18,9.94,9.94,9.94,9.94
27-Nov-18,9.96,9.96,9.96,9.96
26-Nov-18,9.895,9.895,9.895,9.895
23-Nov-18,9.835,9.835,9.835,9.835
22-Nov-18,9.83,9.83,9.83,9.83
21-Nov-18,9.93,9.93,9.93,9.93
20-Nov-18,10.015,10.015,10.015,10.015
19-Nov-18,9.975,9.975,9.975,9.975
16-Nov-18,9.965,9.965,9.965,9.965
15-Nov-18,10.04,10.04,10.04,10.04
14-Nov-18,10.015,10.015,10.015,10.015
13-Nov-18,10.08,10.08,10.08,10.08
12-Nov-18,10.065,10.065,10.065,10.065
9-Nov-18,10.045,10.045,10.045,10.045
8-Nov-18,10.005,10.005,10.005,10.005
7-Nov-18,9.925,9.925,9.925,9.925
6-Nov-18,9.995,9.995,9.995,9.995
5-Nov-18,10.025,10.025,10.025,10.025
2-Nov-18,10.075,10.075,10.075,10.075
1-Nov-18,10.14,10.14,10.14,10.14
31-Oct-18,10.265,10.265,10.265,10.265
30-Oct-18,10.165,10.165,10.165,10.165
29-Oct-18,10.12,10.12,10.12,10.12
26-Oct-18,10.215,10.215,10.215,10.215
25-Oct-18,10.32,10.32,10.32,10.32
24-Oct-18,10.27,10.27,10.27,10.27
23-Oct-18,10.05,10.05,10.05,10.05
22-Oct-18,10.055,10.055,10.055,10.055
19-Oct-18,10.115,10.115,10.115,10.115
18-Oct-18,10.09,10.09,10.09,10.09
17-Oct-18,10.045,10.045,10.045,10.045
16-Oct-18,10.095,10.095,10.095,10.095
15-Oct-18,10.145,10.145,10.145,10.145
12-Oct-18,10.18,10.18,10.18,10.18
11-Oct-18,10.19,10.19,10.19,10.19
10-Oct-18,10.115,10.115,10.115,10.115
9-Oct-18,10.07,10.07,10.07,10.07
8-Oct-18,10.17,10.17,10.17,10.17
5-Oct-18,10.14,10.14,10.14,10.14
4-Oct-18,10.1,10.1,10.1,10.1
3-Oct-18,10.03,10.03,10.03,10.03
2-Oct-18,10.035,10.035,10.035,10.035
1-Oct-18,9.98,9.98,9.98,9.98
28-Sep-18,9.93,9.93,9.93,9.93
27-Sep-18,9.91,9.91,9.91,9.91
26-Sep-18,9.99,9.99,9.99,9.99
25-Sep-18,10.06,10.06,10.06,10.06
21-Sep-18,9.985,9.985,9.985,9.985
20-Sep-18,10,10,10,10
19-Sep-18,9.99,9.99,9.99,9.99
18-Sep-18,10.095,10.095,10.095,10.095
17-Sep-18,10.15,10.15,10.15,10.15
16-Sep-18,10.08,10.075,10.085,10.07
14-Sep-18,10.08,10.08,10.08,10.08
13-Sep-18,10.015,10.015,10.015,10.015
12-Sep-18,10.07,10.07,10.07,10.07
11-Sep-18,10.085,10.085,10.085,10.085
10-Sep-18,10.12,10.12,10.12,10.12
7-Sep-18,10.01,10.01,10.01,10.01
6-Sep-18,10.06,10.06,10.06,10.06
5-Sep-18,10.08,10.08,10.08,10.08
4-Sep-18,10.07,10.07,10.07,10.07
3-Sep-18,9.835,9.835,9.835,9.835
31-Aug-18,9.82,9.82,9.82,9.82
30-Aug-18,9.88,9.88,9.88,9.88
29-Aug-18,9.785,9.785,9.785,9.785
28-Aug-18,9.73,9.73,9.73,9.73
27-Aug-18,9.725,9.725,9.725,9.725
24-Aug-18,9.76,9.76,9.76,9.76
23-Aug-18,9.805,9.805,9.805,9.805
22-Aug-18,9.8,9.8,9.8,9.8
21-Aug-18,9.855,9.855,9.855,9.855
20-Aug-18,9.89,9.89,9.89,9.89
19-Aug-18,9.88,9.88,9.88,9.88
17-Aug-18,9.875,9.875,9.875,9.875
16-Aug-18,9.835,9.835,9.835,9.835
15-Aug-18,9.855,9.855,9.855,9.855
14-Aug-18,9.805,9.805,9.805,9.805
13-Aug-18,9.9,9.9,9.9,9.9
10-Aug-18,9.73,9.73,9.73,9.73
8-Aug-18,9.59,9.59,9.59,9.59
7-Aug-18,9.615,9.615,9.615,9.615
6-Aug-18,9.67,9.67,9.67,9.67
3-Aug-18,9.605,9.605,9.605,9.605
2-Aug-18,9.595,9.595,9.595,9.595
1-Aug-18,9.5,9.5,9.5,9.5
31-Jul-18,9.475,9.475,9.475,9.475
30-Jul-18,9.485,9.485,9.485,9.485
27-Jul-18,9.485,9.485,9.485,9.485
26-Jul-18,9.535,9.535,9.535,9.535
25-Jul-18,9.555,9.555,9.555,9.555
24-Jul-18,9.645,9.645,9.645,9.645
23-Jul-18,9.675,9.675,9.675,9.675
22-Jul-18,9.63,9.63,9.63,9.63
21-Jul-18,9.63,9.63,9.63,9.63
20-Jul-18,9.63,9.63,9.63,9.63
19-Jul-18,9.645,9.645,9.645,9.645
18-Jul-18,9.585,9.585,9.585,9.585
17-Jul-18,9.575,9.575,9.575,9.575
16-Jul-18,9.615,9.615,9.615,9.615
15-Jul-18,9.645,9.645,9.645,9.645
14-Jul-18,9.645,9.645,9.645,9.645
13-Jul-18,9.64,9.64,9.64,9.64
12-Jul-18,9.645,9.645,9.645,9.645
11-Jul-18,9.62,9.62,9.62,9.62
10-Jul-18,9.575,9.575,9.575,9.575
9-Jul-18,9.53,9.53,9.53,9.53
6-Jul-18,9.565,9.565,9.565,9.565
5-Jul-18,9.61,9.61,9.61,9.61
4-Jul-18,9.605,9.605,9.605,9.605
3-Jul-18,9.685,9.685,9.685,9.685
2-Jul-18,9.745,9.745,9.745,9.745
29-Jun-18,9.68,9.68,9.68,9.68
28-Jun-18,9.78,9.78,9.78,9.78
27-Jun-18,9.745,9.745,9.745,9.745
26-Jun-18,9.715,9.715,9.715,9.715
25-Jun-18,9.745,9.745,9.745,9.745
22-Jun-18,9.68,9.68,9.68,9.68
21-Jun-18,9.73,9.73,9.73,9.73
20-Jun-18,9.86,9.86,9.86,9.86
19-Jun-18,9.98,9.98,9.98,9.98
18-Jun-18,9.94,9.94,9.94,9.94
15-Jun-18,9.87,9.87,9.87,9.87
14-Jun-18,9.84,9.84,9.84,9.84
13-Jun-18,9.845,9.845,9.845,9.845
12-Jun-18,9.875,9.875,9.875,9.875
