Date,Close,Open,High,Low
11-Mar-19,2.029,2.016,2.031,2.016
10-Mar-19,2.022,2.022,2.022,2.022
9-Mar-19,2.022,2.022,2.022,2.022
8-Mar-19,2.022,2.039,2.04,2.013
7-Mar-19,2.056,2.052,2.062,2.05
6-Mar-19,2.066,2.062,2.066,2.051
5-Mar-19,2.063,2.095,2.1,2.061
4-Mar-19,2.087,2.087,2.091,2.08
3-Mar-19,2.056,2.056,2.056,2.056
2-Mar-19,2.056,2.056,2.056,2.056
1-Mar-19,2.056,2.056,2.056,2.056
28-Feb-19,2.052,2.06,2.064,2.052
27-Feb-19,2.048,2.054,2.054,2.039
26-Feb-19,2.046,2.043,2.052,2.039
25-Feb-19,2.054,2.054,2.059,2.047
24-Feb-19,2.052,2.052,2.052,2.052
23-Feb-19,2.052,2.052,2.052,2.052
22-Feb-19,2.053,2.05,2.058,2.049
21-Feb-19,2.043,2.023,2.053,2.023
20-Feb-19,2.03,2.021,2.03,2.015
19-Feb-19,2.029,2.02,2.031,2.015
18-Feb-19,2.015,1.995,2.016,1.995
17-Feb-19,1.99,1.99,1.99,1.99
16-Feb-19,1.99,1.99,1.99,1.99
15-Feb-19,1.984,2.006,2.012,1.984
14-Feb-19,2.02,2.007,2.027,1.996
13-Feb-19,2.011,2.013,2.022,2.006
12-Feb-19,2.015,1.995,2.017,1.995
11-Feb-19,1.994,2.029,2.029,1.994
10-Feb-19,2.035,2.035,2.035,2.035
9-Feb-19,2.035,2.035,2.035,2.035
8-Feb-19,2.034,2.042,2.047,2.03
7-Feb-19,2.055,2.047,2.058,2.039
6-Feb-19,2.04,2.04,2.04,2.04
5-Feb-19,2.04,2.04,2.04,2.04
4-Feb-19,2.04,2.04,2.04,2.04
3-Feb-19,2.04,2.04,2.04,2.04
2-Feb-19,2.04,2.04,2.04,2.04
1-Feb-19,2.037,2.04,2.056,2.02
31-Jan-19,2.05,2.072,2.077,2.049
30-Jan-19,2.087,2.075,2.089,2.073
29-Jan-19,2.081,2.081,2.092,2.068
28-Jan-19,2.078,2.054,2.083,2.051
27-Jan-19,2.047,2.047,2.047,2.047
26-Jan-19,2.047,2.047,2.047,2.047
25-Jan-19,2.048,2.025,2.053,2.025
24-Jan-19,2.018,2.011,2.022,2.004
23-Jan-19,2.014,2.022,2.024,2.011
22-Jan-19,2.027,2.053,2.054,2.027
21-Jan-19,2.045,2.021,2.045,2.015
20-Jan-19,2.018,2.018,2.018,2.018
19-Jan-19,2.018,2.018,2.018,2.018
18-Jan-19,2.008,2.008,2.009,1.999
17-Jan-19,1.978,1.987,1.992,1.978
16-Jan-19,1.985,1.98,1.989,1.977
15-Jan-19,1.975,1.979,1.986,1.974
14-Jan-19,1.98,1.99,2.005,1.98
13-Jan-19,1.982,1.982,1.982,1.982
12-Jan-19,1.982,1.982,1.982,1.982
11-Jan-19,1.978,1.969,1.989,1.968
10-Jan-19,1.963,1.961,1.978,1.955
9-Jan-19,1.963,1.972,1.979,1.961
8-Jan-19,1.964,1.959,1.97,1.956
7-Jan-19,1.952,1.963,1.963,1.949
6-Jan-19,1.95,1.95,1.95,1.95
5-Jan-19,1.95,1.95,1.95,1.95
4-Jan-19,1.955,1.94,1.967,1.938
3-Jan-19,1.961,1.945,1.967,1.933
2-Jan-19,1.952,1.944,1.955,1.916
1-Jan-19,1.955,1.955,1.955,1.955
31-Dec-18,1.955,1.936,1.955,1.915
30-Dec-18,1.955,1.955,1.955,1.955
28-Dec-18,1.926,1.936,1.936,1.915
27-Dec-18,1.928,1.954,1.954,1.924
26-Dec-18,1.927,1.936,1.946,1.904
25-Dec-18,1.96,1.96,1.96,1.96
24-Dec-18,1.954,1.935,1.954,1.934
23-Dec-18,1.932,1.932,1.932,1.932
22-Dec-18,1.932,1.932,1.932,1.932
21-Dec-18,1.922,1.894,1.925,1.89
20-Dec-18,1.887,1.874,1.888,1.857
19-Dec-18,1.876,1.888,1.888,1.86
18-Dec-18,1.922,1.927,1.927,1.913
17-Dec-18,1.927,1.923,1.927,1.915
16-Dec-18,1.925,1.925,1.925,1.925
15-Dec-18,1.925,1.925,1.925,1.925
14-Dec-18,1.932,1.928,1.936,1.925
13-Dec-18,1.928,1.93,1.936,1.921
12-Dec-18,1.93,1.935,1.936,1.92
11-Dec-18,1.908,1.916,1.917,1.907
10-Dec-18,1.907,1.899,1.907,1.886
9-Dec-18,1.915,1.915,1.915,1.915
8-Dec-18,1.915,1.915,1.915,1.915
7-Dec-18,1.906,1.916,1.947,1.902
6-Dec-18,1.895,1.983,1.983,1.892
5-Dec-18,1.99,1.982,1.997,1.967
4-Dec-18,2,2,2.006,1.969
3-Dec-18,2.008,1.997,2.014,1.997
2-Dec-18,1.988,1.988,1.988,1.988
1-Dec-18,1.988,1.988,1.988,1.988
30-Nov-18,1.973,2.02,2.02,1.963
29-Nov-18,2.013,2.04,2.048,2.012
28-Nov-18,2.049,2.05,2.063,2.048
27-Nov-18,2.028,2.032,2.034,2.006
26-Nov-18,2.042,2.055,2.058,2.041
25-Nov-18,2.05,2.05,2.05,2.05
24-Nov-18,2.05,2.05,2.05,2.05
23-Nov-18,2.047,2.063,2.067,2.042
22-Nov-18,2.097,2.09,2.099,2.089
21-Nov-18,2.092,2.092,2.099,2.087
20-Nov-18,2.098,2.106,2.125,2.095
19-Nov-18,2.109,2.105,2.12,2.105
18-Nov-18,2.112,2.112,2.112,2.112
16-Nov-18,2.112,2.108,2.125,2.106
15-Nov-18,2.109,2.077,2.124,2.077
14-Nov-18,2.07,2.07,2.085,2.07
13-Nov-18,2.086,2.061,2.09,2.061
12-Nov-18,2.076,2.074,2.094,2.074
11-Nov-18,2.08,2.08,2.08,2.08
9-Nov-18,2.09,2.083,2.092,2.065
8-Nov-18,2.101,2.139,2.139,2.101
7-Nov-18,2.127,2.153,2.159,2.119
6-Nov-18,2.16,2.144,2.161,2.133
5-Nov-18,2.144,2.157,2.166,2.144
4-Nov-18,2.145,2.145,2.145,2.145
3-Nov-18,2.145,2.145,2.145,2.145
2-Nov-18,2.152,2.148,2.165,2.12
1-Nov-18,2.135,2.147,2.155,2.129
31-Oct-18,2.14,2.114,2.153,2.113
30-Oct-18,2.132,2.12,2.133,2.095
29-Oct-18,2.102,2.167,2.167,2.102
28-Oct-18,2.167,2.167,2.167,2.167
27-Oct-18,2.167,2.167,2.167,2.167
26-Oct-18,2.16,2.17,2.175,2.132
25-Oct-18,2.177,2.195,2.199,2.168
24-Oct-18,2.225,2.23,2.23,2.209
23-Oct-18,2.226,2.252,2.262,2.216
22-Oct-18,2.258,2.24,2.266,2.238
21-Oct-18,2.24,2.24,2.24,2.24
20-Oct-18,2.24,2.24,2.24,2.24
19-Oct-18,2.235,2.194,2.238,2.188
18-Oct-18,2.194,2.248,2.253,2.194
17-Oct-18,2.244,2.285,2.286,2.228
16-Oct-18,2.291,2.297,2.305,2.291
15-Oct-18,2.299,2.284,2.303,2.283
14-Oct-18,2.3,2.3,2.3,2.3
13-Oct-18,2.3,2.3,2.3,2.3
12-Oct-18,2.302,2.285,2.31,2.281
11-Oct-18,2.271,2.284,2.298,2.271
10-Oct-18,2.318,2.334,2.337,2.314
9-Oct-18,2.355,2.355,2.355,2.355
8-Oct-18,2.365,2.397,2.397,2.356
7-Oct-18,2.382,2.382,2.382,2.382
6-Oct-18,2.382,2.382,2.382,2.382
5-Oct-18,2.385,2.409,2.409,2.374
4-Oct-18,2.388,2.39,2.392,2.372
3-Oct-18,2.34,2.34,2.34,2.34
2-Oct-18,2.338,2.345,2.351,2.326
1-Oct-18,2.332,2.316,2.339,2.315
30-Sep-18,2.305,2.305,2.305,2.305
29-Sep-18,2.305,2.305,2.305,2.305
28-Sep-18,2.3,2.3,2.312,2.293
27-Sep-18,2.304,2.33,2.356,2.304
26-Sep-18,2.335,2.335,2.335,2.335
25-Sep-18,2.335,2.335,2.335,2.335
24-Sep-18,2.335,2.335,2.335,2.335
23-Sep-18,2.335,2.335,2.335,2.335
22-Sep-18,2.335,2.335,2.335,2.335
21-Sep-18,2.344,2.375,2.375,2.344
20-Sep-18,2.362,2.281,2.362,2.281
19-Sep-18,2.272,2.265,2.281,2.257
18-Sep-18,2.246,2.241,2.255,2.231
17-Sep-18,2.249,2.237,2.261,2.237
16-Sep-18,2.22,2.22,2.22,2.22
15-Sep-18,2.22,2.22,2.22,2.22
14-Sep-18,2.219,2.183,2.24,2.183
13-Sep-18,2.176,2.18,2.194,2.174
12-Sep-18,2.172,2.17,2.191,2.164
11-Sep-18,2.193,2.163,2.194,2.163
10-Sep-18,2.171,2.184,2.186,2.163
9-Sep-18,2.172,2.172,2.172,2.172
8-Sep-18,2.172,2.172,2.172,2.172
7-Sep-18,2.183,2.168,2.201,2.167
6-Sep-18,2.17,2.179,2.181,2.143
5-Sep-18,2.194,2.225,2.226,2.194
4-Sep-18,2.227,2.239,2.241,2.227
3-Sep-18,2.237,2.249,2.249,2.237
2-Sep-18,2.25,2.25,2.25,2.25
1-Sep-18,2.25,2.25,2.25,2.25
31-Aug-18,2.26,2.297,2.299,2.257
30-Aug-18,2.299,2.299,2.299,2.292
29-Aug-18,2.294,2.3,2.303,2.291
28-Aug-18,2.298,2.313,2.314,2.297
27-Aug-18,2.31,2.314,2.318,2.309
26-Aug-18,2.317,2.317,2.317,2.317
25-Aug-18,2.317,2.317,2.317,2.317
24-Aug-18,2.32,2.31,2.334,2.309
23-Aug-18,2.322,2.322,2.332,2.318
22-Aug-18,2.343,2.345,2.345,2.33
21-Aug-18,2.345,2.369,2.371,2.338
20-Aug-18,2.37,2.381,2.381,2.369
19-Aug-18,2.377,2.377,2.377,2.377
18-Aug-18,2.377,2.377,2.377,2.377
17-Aug-18,2.39,2.391,2.401,2.389
16-Aug-18,2.413,2.42,2.42,2.408
15-Aug-18,2.437,2.437,2.437,2.437
14-Aug-18,2.44,2.444,2.449,2.431
13-Aug-18,2.453,2.445,2.461,2.442
12-Aug-18,2.447,2.447,2.447,2.447
11-Aug-18,2.447,2.447,2.447,2.447
10-Aug-18,2.452,2.46,2.466,2.441
9-Aug-18,2.476,2.5,2.5,2.473
8-Aug-18,2.52,2.526,2.526,2.516
7-Aug-18,2.523,2.527,2.528,2.522
6-Aug-18,2.529,2.54,2.544,2.529
5-Aug-18,2.545,2.545,2.545,2.545
4-Aug-18,2.545,2.545,2.545,2.545
3-Aug-18,2.546,2.546,2.555,2.543
2-Aug-18,2.544,2.555,2.555,2.542
1-Aug-18,2.545,2.527,2.55,2.523
31-Jul-18,2.523,2.539,2.558,2.523
30-Jul-18,2.532,2.526,2.541,2.521
29-Jul-18,2.527,2.527,2.527,2.527
28-Jul-18,2.527,2.527,2.527,2.527
27-Jul-18,2.532,2.517,2.545,2.511
26-Jul-18,2.524,2.535,2.535,2.521
25-Jul-18,2.524,2.552,2.552,2.524
24-Jul-18,2.558,2.563,2.563,2.554
23-Jul-18,2.53,2.537,2.54,2.525
22-Jul-18,2.515,2.515,2.515,2.515
21-Jul-18,2.515,2.515,2.515,2.515
20-Jul-18,2.515,2.525,2.525,2.507
19-Jul-18,2.528,2.52,2.53,2.52
18-Jul-18,2.517,2.531,2.532,2.517
17-Jul-18,2.532,2.531,2.536,2.525
16-Jul-18,2.528,2.529,2.541,2.524
15-Jul-18,2.526,2.526,2.526,2.526
14-Jul-18,2.526,2.526,2.526,2.526
13-Jul-18,2.523,2.524,2.526,2.513
12-Jul-18,2.517,2.506,2.527,2.504
11-Jul-18,2.508,2.515,2.515,2.506
10-Jul-18,2.54,2.546,2.552,2.534
9-Jul-18,2.546,2.541,2.553,2.536
8-Jul-18,2.539,2.539,2.539,2.539
7-Jul-18,2.539,2.539,2.539,2.539
6-Jul-18,2.554,2.548,2.562,2.548
5-Jul-18,2.549,2.557,2.559,2.542
4-Jul-18,2.55,2.564,2.565,2.55
3-Jul-18,2.569,2.557,2.57,2.554
2-Jul-18,2.54,2.547,2.562,2.54
1-Jul-18,2.547,2.547,2.547,2.547
30-Jun-18,2.547,2.547,2.547,2.547
29-Jun-18,2.552,2.544,2.564,2.538
28-Jun-18,2.549,2.56,2.56,2.533
27-Jun-18,2.561,2.624,2.624,2.561
26-Jun-18,2.589,2.585,2.589,2.577
25-Jun-18,2.588,2.562,2.591,2.56
24-Jun-18,2.577,2.577,2.577,2.577
23-Jun-18,2.577,2.577,2.577,2.577
22-Jun-18,2.572,2.588,2.588,2.56
21-Jun-18,2.577,2.594,2.594,2.568
20-Jun-18,2.582,2.605,2.605,2.581
19-Jun-18,2.585,2.602,2.602,2.585
18-Jun-18,2.612,2.625,2.627,2.604
17-Jun-18,2.64,2.64,2.64,2.64
16-Jun-18,2.64,2.64,2.64,2.64
15-Jun-18,2.642,2.653,2.656,2.642
14-Jun-18,2.669,2.69,2.69,2.66
13-Jun-18,2.674,2.674,2.674,2.674
12-Jun-18,2.678,2.665,2.683,2.665
11-Jun-18,2.69,2.694,2.702,2.69
10-Jun-18,2.671,2.671,2.671,2.671
9-Jun-18,2.671,2.671,2.671,2.671
8-Jun-18,2.681,2.697,2.699,2.681
7-Jun-18,2.701,2.705,2.707,2.696
6-Jun-18,2.682,2.682,2.682,2.682
5-Jun-18,2.686,2.69,2.707,2.686
4-Jun-18,2.695,2.674,2.695,2.671
3-Jun-18,2.667,2.667,2.667,2.667
2-Jun-18,2.667,2.667,2.667,2.667
1-Jun-18,2.667,2.669,2.677,2.663
31-May-18,2.679,2.694,2.694,2.657
30-May-18,2.687,2.655,2.699,2.655
29-May-18,2.699,2.694,2.709,2.683
28-May-18,2.706,2.686,2.706,2.685
26-May-18,2.707,2.707,2.707,2.707
25-May-18,2.695,2.704,2.705,2.695
24-May-18,2.703,2.7,2.703,2.691
23-May-18,2.737,2.755,2.76,2.735
22-May-18,2.752,2.752,2.752,2.752
21-May-18,2.75,2.752,2.76,2.742
20-May-18,2.735,2.735,2.735,2.735
19-May-18,2.735,2.735,2.735,2.735
18-May-18,2.745,2.751,2.76,2.744
17-May-18,2.748,2.756,2.757,2.738
16-May-18,2.746,2.769,2.773,2.746
15-May-18,2.752,2.748,2.756,2.747
14-May-18,2.745,2.747,2.755,2.745
12-May-18,2.741,2.741,2.741,2.741
11-May-18,2.741,2.747,2.757,2.736
10-May-18,2.744,2.757,2.766,2.741
9-May-18,2.764,2.756,2.767,2.75
8-May-18,2.751,2.751,2.758,2.749
5-May-18,2.752,2.752,2.752,2.752
4-May-18,2.751,2.751,2.759,2.747
3-May-18,2.752,2.751,2.752,2.746
2-May-18,2.758,2.729,2.765,2.727
1-May-18,2.71,2.71,2.71,2.71
30-Apr-18,2.702,2.696,2.702,2.688
28-Apr-18,2.692,2.692,2.692,2.692
27-Apr-18,2.695,2.715,2.715,2.695
26-Apr-18,2.735,2.729,2.74,2.728
25-Apr-18,2.733,2.73,2.736,2.724
24-Apr-18,2.723,2.729,2.729,2.717
23-Apr-18,2.734,2.731,2.739,2.717
22-Apr-18,2.685,2.685,2.685,2.685
21-Apr-18,2.685,2.685,2.685,2.685
20-Apr-18,2.689,2.683,2.698,2.683
19-Apr-18,2.663,2.656,2.671,2.654
18-Apr-18,2.65,2.631,2.651,2.631
17-Apr-18,2.636,2.639,2.642,2.635
16-Apr-18,2.638,2.631,2.639,2.628
14-Apr-18,2.617,2.617,2.617,2.617
13-Apr-18,2.61,2.619,2.62,2.601
12-Apr-18,2.607,2.623,2.624,2.607
11-Apr-18,2.625,2.629,2.635,2.622
10-Apr-18,2.634,2.62,2.644,2.619
9-Apr-18,2.633,2.634,2.641,2.628
7-Apr-18,2.634,2.634,2.634,2.634
6-Apr-18,2.638,2.655,2.669,2.627
5-Apr-18,2.658,2.67,2.67,2.656
4-Apr-18,2.658,2.684,2.684,2.656
3-Apr-18,2.672,2.629,2.696,2.629
2-Apr-18,2.642,2.636,2.647,2.636
31-Mar-18,2.617,2.617,2.617,2.617
30-Mar-18,2.615,2.612,2.629,2.608
29-Mar-18,2.613,2.618,2.624,2.599
28-Mar-18,2.615,2.622,2.622,2.613
27-Mar-18,2.654,2.677,2.677,2.65
26-Mar-18,2.663,2.616,2.663,2.616
24-Mar-18,2.617,2.617,2.617,2.617
23-Mar-18,2.613,2.619,2.631,2.613
22-Mar-18,2.647,2.651,2.653,2.642
21-Mar-18,2.656,2.659,2.665,2.642
20-Mar-18,2.673,2.683,2.685,2.673
19-Mar-18,2.678,2.672,2.686,2.671
17-Mar-18,2.652,2.652,2.652,2.652
16-Mar-18,2.652,2.649,2.66,2.64
15-Mar-18,2.653,2.68,2.68,2.648
14-Mar-18,2.7,2.725,2.725,2.683
13-Mar-18,2.744,2.753,2.759,2.735
12-Mar-18,2.749,2.736,2.75,2.736
10-Mar-18,2.73,2.73,2.73,2.73
9-Mar-18,2.728,2.715,2.729,2.713
8-Mar-18,2.718,2.719,2.727,2.711
7-Mar-18,2.724,2.727,2.737,2.722
6-Mar-18,2.741,2.739,2.747,2.721
5-Mar-18,2.721,2.735,2.736,2.71
3-Mar-18,2.737,2.737,2.737,2.737
2-Mar-18,2.705,2.71,2.725,2.688
1-Mar-18,2.72,2.717,2.72,2.717
28-Feb-18,2.717,2.721,2.742,2.717
27-Feb-18,2.7,2.722,2.728,2.7
