Date,Close,Open,High,Low
11-Mar-19,1.3,1.3,1.3,1.3
8-Mar-19,1.3,1.3,1.3,1.3
7-Mar-19,1.29,1.29,1.29,1.29
6-Mar-19,1.29,1.29,1.29,1.29
5-Mar-19,1.29,1.29,1.29,1.29
4-Mar-19,1.29,1.29,1.29,1.29
27-Feb-19,1.29,1.29,1.29,1.29
26-Feb-19,1.3,1.3,1.3,1.3
25-Feb-19,1.3,1.3,1.3,1.3
22-Feb-19,1.3,1.3,1.3,1.3
21-Feb-19,1.3,1.3,1.3,1.3
20-Feb-19,1.3,1.3,1.3,1.3
19-Feb-19,1.3,1.3,1.3,1.3
18-Feb-19,1.3,1.3,1.3,1.3
15-Feb-19,1.3,1.3,1.3,1.3
14-Feb-19,1.29,1.29,1.29,1.29
13-Feb-19,1.29,1.29,1.29,1.29
12-Feb-19,1.29,1.29,1.29,1.29
11-Feb-19,1.29,1.29,1.29,1.29
30-Jan-19,1.29,1.29,1.29,1.29
29-Jan-19,1.3,1.3,1.3,1.3
28-Jan-19,1.29,1.29,1.29,1.29
25-Jan-19,1.29,1.29,1.29,1.29
24-Jan-19,1.3,1.3,1.3,1.3
23-Jan-19,1.3,1.3,1.3,1.3
22-Jan-19,1.34,1.34,1.34,1.34
21-Jan-19,1.34,1.34,1.34,1.34
18-Jan-19,1.35,1.35,1.35,1.35
17-Jan-19,1.35,1.35,1.35,1.35
16-Jan-19,1.35,1.35,1.35,1.35
15-Jan-19,1.35,1.35,1.35,1.35
14-Jan-19,1.35,1.35,1.35,1.35
11-Jan-19,1.34,1.34,1.34,1.34
10-Jan-19,1.34,1.34,1.34,1.34
9-Jan-19,1.34,1.34,1.34,1.34
8-Jan-19,1.34,1.34,1.34,1.34
7-Jan-19,1.33,1.33,1.33,1.33
4-Jan-19,1.3,1.3,1.3,1.3
3-Jan-19,1.3,1.3,1.3,1.3
2-Jan-19,1.3,1.3,1.3,1.3
28-Dec-18,1.3,1.3,1.3,1.3
27-Dec-18,1.3,1.3,1.3,1.3
26-Dec-18,1.3,1.3,1.3,1.3
25-Dec-18,1.3,1.3,1.3,1.3
24-Dec-18,1.39,1.39,1.39,1.39
22-Dec-18,1.39,1.39,1.39,1.39
21-Dec-18,1.39,1.39,1.39,1.39
20-Dec-18,1.39,1.39,1.39,1.39
19-Dec-18,1.4,1.4,1.4,1.4
18-Dec-18,1.42,1.42,1.42,1.42
17-Dec-18,1.42,1.42,1.42,1.42
14-Dec-18,1.42,1.42,1.42,1.42
13-Dec-18,1.42,1.42,1.42,1.42
12-Dec-18,1.42,1.42,1.42,1.42
11-Dec-18,1.42,1.42,1.42,1.42
10-Dec-18,1.43,1.43,1.43,1.43
7-Dec-18,1.43,1.43,1.43,1.43
6-Dec-18,1.43,1.43,1.43,1.43
5-Dec-18,1.43,1.43,1.43,1.43
4-Dec-18,1.45,1.45,1.45,1.45
3-Dec-18,1.48,1.48,1.48,1.48
30-Nov-18,1.55,1.55,1.55,1.55
29-Nov-18,1.55,1.55,1.55,1.55
28-Nov-18,1.55,1.55,1.55,1.55
27-Nov-18,1.55,1.55,1.55,1.55
26-Nov-18,1.55,1.55,1.55,1.55
23-Nov-18,1.43,1.43,1.43,1.43
22-Nov-18,1.43,1.43,1.43,1.43
21-Nov-18,1.43,1.43,1.43,1.43
20-Nov-18,1.43,1.43,1.43,1.43
19-Nov-18,1.42,1.42,1.42,1.42
16-Nov-18,1.42,1.42,1.42,1.42
15-Nov-18,1.42,1.42,1.42,1.42
14-Nov-18,1.42,1.42,1.42,1.42
13-Nov-18,1.42,1.42,1.42,1.42
12-Nov-18,1.42,1.42,1.42,1.42
9-Nov-18,1.44,1.44,1.44,1.44
8-Nov-18,1.44,1.44,1.44,1.44
7-Nov-18,1.44,1.44,1.44,1.44
6-Nov-18,1.42,1.42,1.42,1.42
5-Nov-18,1.4,1.4,1.4,1.4
2-Nov-18,1.4,1.4,1.4,1.4
1-Nov-18,1.4,1.4,1.4,1.4
