Date,Close,Open,High,Low
13-Mar-19,1.721,1.699,1.722,1.697
12-Mar-19,1.681,1.683,1.74,1.677
11-Mar-19,1.694,1.706,1.712,1.676
8-Mar-19,1.703,1.665,1.709,1.661
7-Mar-19,1.663,1.718,1.719,1.653
6-Mar-19,1.712,1.754,1.764,1.707
5-Mar-19,1.775,1.785,1.796,1.756
4-Mar-19,1.778,1.808,1.826,1.77
3-Mar-19,1.803,1.803,1.803,1.803
1-Mar-19,1.802,1.826,1.831,1.799
28-Feb-19,1.819,1.796,1.834,1.79
27-Feb-19,1.805,1.747,1.82,1.736
26-Feb-19,1.749,1.72,1.753,1.712
25-Feb-19,1.713,1.691,1.716,1.691
23-Feb-19,1.685,1.685,1.685,1.685
22-Feb-19,1.684,1.698,1.706,1.664
21-Feb-19,1.71,1.711,1.736,1.699
20-Feb-19,1.706,1.699,1.715,1.688
19-Feb-19,1.698,1.677,1.704,1.667
18-Feb-19,1.683,1.679,1.69,1.669
17-Feb-19,1.681,1.681,1.681,1.681
15-Feb-19,1.679,1.663,1.689,1.663
14-Feb-19,1.671,1.685,1.69,1.65
13-Feb-19,1.69,1.695,1.706,1.675
12-Feb-19,1.693,1.705,1.706,1.677
11-Feb-19,1.685,1.667,1.706,1.664
9-Feb-19,1.673,1.673,1.673,1.673
8-Feb-19,1.672,1.688,1.702,1.662
7-Feb-19,1.698,1.715,1.719,1.679
6-Feb-19,1.722,1.728,1.737,1.713
5-Feb-19,1.735,1.78,1.791,1.726
4-Feb-19,1.785,1.762,1.79,1.742
2-Feb-19,1.749,1.749,1.749,1.749
1-Feb-19,1.747,1.725,1.76,1.714
31-Jan-19,1.718,1.726,1.735,1.703
30-Jan-19,1.735,1.738,1.757,1.725
29-Jan-19,1.751,1.739,1.761,1.731
28-Jan-19,1.743,1.8,1.807,1.739
27-Jan-19,1.788,1.788,1.788,1.788
25-Jan-19,1.786,1.77,1.799,1.751
24-Jan-19,1.76,1.803,1.819,1.76
23-Jan-19,1.816,1.82,1.854,1.81
22-Jan-19,1.833,1.822,1.851,1.81
21-Jan-19,1.834,1.854,1.854,1.816
19-Jan-19,1.865,1.865,1.865,1.865
18-Jan-19,1.864,1.862,1.891,1.841
17-Jan-19,1.85,1.805,1.852,1.8
16-Jan-19,1.813,1.807,1.854,1.802
15-Jan-19,1.78,1.825,1.836,1.775
14-Jan-19,1.822,1.821,1.842,1.797
11-Jan-19,1.834,1.796,1.838,1.767
10-Jan-19,1.798,1.75,1.82,1.75
9-Jan-19,1.781,1.815,1.826,1.753
8-Jan-19,1.808,1.791,1.808,1.785
7-Jan-19,1.778,1.793,1.809,1.763
6-Jan-19,1.808,1.808,1.808,1.808
4-Jan-19,1.806,1.757,1.811,1.757
3-Jan-19,1.747,1.766,1.8,1.734
2-Jan-19,1.775,1.79,1.798,1.749
1-Jan-19,1.821,1.821,1.821,1.821
31-Dec-18,1.816,1.803,1.86,1.796
28-Dec-18,1.8,1.817,1.836,1.793
27-Dec-18,1.827,1.795,1.832,1.766
24-Dec-18,1.78,1.837,1.844,1.776
21-Dec-18,1.835,1.822,1.847,1.795
20-Dec-18,1.794,1.771,1.817,1.761
19-Dec-18,1.812,1.802,1.816,1.774
18-Dec-18,1.791,1.782,1.821,1.755
17-Dec-18,1.8,1.793,1.839,1.791
16-Dec-18,1.792,1.792,1.792,1.792
14-Dec-18,1.794,1.819,1.85,1.779
13-Dec-18,1.839,1.834,1.845,1.768
12-Dec-18,1.826,1.713,1.829,1.711
11-Dec-18,1.722,1.723,1.769,1.683
10-Dec-18,1.7,1.811,1.817,1.657
8-Dec-18,1.825,1.825,1.825,1.825
7-Dec-18,1.823,1.84,1.858,1.821
6-Dec-18,1.842,1.921,1.931,1.819
5-Dec-18,1.928,1.925,1.951,1.9
4-Dec-18,1.918,2.009,2.009,1.917
3-Dec-18,2.009,2.093,2.098,2.006
