Date,Close,Open,High,Low
1989/10/26,0.100312904,0.100312904,0.100312904,0.100312904
1989/10/27,0,0,0,0
1989/10/28,0,0,0,0
1989/10/29,0,0,0,0
1989/10/30,0.100190009,0.100190009,0.100190009,0.100190009
1989/10/31,0.10017063,0.10017063,0.10017063,0.10017063
1989/11/1,0.100368575,0.100368575,0.100368575,0.100368575
1989/11/2,0.100586966,0.100586966,0.100586966,0.100586966
1989/11/3,0.100420558,0.100420558,0.100420558,0.100420558
1989/11/4,0,0,0,0
1989/11/5,0,0,0,0
1989/11/6,0.100605962,0.100605962,0.100605962,0.100605962
1989/11/7,0.100416573,0.100416573,0.100416573,0.100416573
1989/11/8,0.100223941,0.100223941,0.100223941,0.100223941
1989/11/9,0.100268716,0.100268716,0.100268716,0.100268716
1989/11/10,0.100424476,0.100424476,0.100424476,0.100424476
1989/11/11,0,0,0,0
1989/11/12,0,0,0,0
1989/11/13,0.100859713,0.100859713,0.100859713,0.100859713
1989/11/14,0.100652613,0.100652613,0.100652613,0.100652613
1989/11/15,0.100337899,0.100337899,0.100337899,0.100337899
1989/11/16,0.100568066,0.100568066,0.100568066,0.100568066
1989/11/17,0.100537983,0.100537983,0.100537983,0.100537983
1989/11/18,0,0,0,0
1989/11/19,0,0,0,0
1989/11/20,0.100694667,0.100694667,0.100694667,0.100694667
1989/11/21,0.100083609,0.100083609,0.100083609,0.100083609
1989/11/22,0.099791078,0.099791078,0.099791078,0.099791078
1989/11/23,0.10015886,0.10015886,0.10015886,0.10015886
1989/11/24,0.099642695,0.099642695,0.099642695,0.099642695
1989/11/25,0,0,0,0
1989/11/26,0,0,0,0
1989/11/27,0.099621721,0.099621721,0.099621721,0.099621721
1989/11/28,0.099738141,0.099738141,0.099738141,0.099738141
1989/11/29,0.099365763,0.099365763,0.099365763,0.099365763
1989/11/30,0.099401229,0.099401229,0.099401229,0.099401229
1989/12/1,0.099318728,0.099318728,0.099318728,0.099318728
1989/12/2,0,0,0,0
1989/12/3,0,0,0,0
1989/12/4,0.09926555,0.09926555,0.09926555,0.09926555
1989/12/5,0.099479297,0.099479297,0.099479297,0.099479297
1989/12/6,0.099331863,0.099331863,0.099331863,0.099331863
1989/12/7,0.099071933,0.099071933,0.099071933,0.099071933
1989/12/8,0.099181771,0.099181771,0.099181771,0.099181771
1989/12/9,0,0,0,0
1989/12/10,0,0,0,0
1989/12/11,0.099124899,0.099124899,0.099124899,0.099124899
1989/12/12,0.098684944,0.098684944,0.098684944,0.098684944
1989/12/13,0.098109044,0.098109044,0.098109044,0.098109044
1989/12/14,0.098378751,0.098378751,0.098378751,0.098378751
1989/12/15,0.098334931,0.098334931,0.098334931,0.098334931
1989/12/16,0,0,0,0
1989/12/17,0,0,0,0
1989/12/18,0.098133053,0.098133053,0.098133053,0.098133053
1989/12/19,0.098234709,0.098234709,0.098234709,0.098234709
1989/12/20,0.098514946,0.098514946,0.098514946,0.098514946
1989/12/21,0.098162444,0.098085814,0.098162444,0.098085814
1989/12/22,0.097661745,0.097661745,0.097661745,0.097661745
1989/12/23,0,0,0,0
1989/12/24,0,0,0,0
1989/12/25,0,0,0,0
1989/12/26,0,0,0,0
1989/12/27,0.096941212,0.096865535,0.096941212,0.096865535
1989/12/28,0.096807084,0.096807084,0.096807084,0.096807084
1989/12/29,0.097476697,0.097476697,0.097476697,0.097476697
1989/12/30,0,0,0,0
1989/12/31,0,0,0,0
1990/1/1,0,0,0,0
1990/1/2,0.097141847,0.097141847,0.097141847,0.097141847
1990/1/3,0.097922259,0.097922259,0.097922259,0.097922259
