Date,Open,High,Low,Close,Adj Close,Volume
1988-08-31,1479.099976,1479.099976,1479.099976,1479.099976,1479.099976,0
1988-09-01,null,null,null,null,null,null
1988-09-02,null,null,null,null,null,null
1988-09-05,null,null,null,null,null,null
1988-09-06,null,null,null,null,null,null
1988-09-07,null,null,null,null,null,null
1988-09-08,null,null,null,null,null,null
1988-09-09,null,null,null,null,null,null
1988-09-12,null,null,null,null,null,null
1988-09-13,null,null,null,null,null,null
1988-09-14,null,null,null,null,null,null
1988-09-15,null,null,null,null,null,null
1988-09-16,null,null,null,null,null,null
1988-09-19,null,null,null,null,null,null
1988-09-20,null,null,null,null,null,null
1988-09-21,null,null,null,null,null,null
1988-09-22,null,null,null,null,null,null
1988-09-23,null,null,null,null,null,null
1988-09-26,null,null,null,null,null,null
1988-09-27,null,null,null,null,null,null
1988-09-28,null,null,null,null,null,null
1988-09-29,null,null,null,null,null,null
1988-09-30,1543.400024,1543.400024,1543.400024,1543.400024,1543.400024,0
1988-10-03,null,null,null,null,null,null
1988-10-04,null,null,null,null,null,null
1988-10-05,null,null,null,null,null,null
1988-10-06,null,null,null,null,null,null
1988-10-07,null,null,null,null,null,null
1988-10-10,null,null,null,null,null,null
1988-10-11,null,null,null,null,null,null
1988-10-12,null,null,null,null,null,null
1988-10-13,null,null,null,null,null,null
1988-10-14,null,null,null,null,null,null
1988-10-17,null,null,null,null,null,null
1988-10-18,null,null,null,null,null,null
1988-10-19,null,null,null,null,null,null
1988-10-20,null,null,null,null,null,null
1988-10-21,null,null,null,null,null,null
1988-10-24,null,null,null,null,null,null
1988-10-25,null,null,null,null,null,null
1988-10-26,null,null,null,null,null,null
1988-10-27,null,null,null,null,null,null
1988-10-28,null,null,null,null,null,null
1988-10-31,1590.800049,1590.800049,1590.800049,1590.800049,1590.800049,0
1988-11-01,null,null,null,null,null,null
1988-11-02,null,null,null,null,null,null
1988-11-03,null,null,null,null,null,null
1988-11-04,null,null,null,null,null,null
1988-11-07,null,null,null,null,null,null
1988-11-08,null,null,null,null,null,null
1988-11-09,null,null,null,null,null,null
1988-11-10,null,null,null,null,null,null
1988-11-11,null,null,null,null,null,null
1988-11-14,null,null,null,null,null,null
1988-11-15,null,null,null,null,null,null
1988-11-16,null,null,null,null,null,null
1988-11-17,null,null,null,null,null,null
1988-11-18,null,null,null,null,null,null
1988-11-21,null,null,null,null,null,null
1988-11-22,null,null,null,null,null,null
1988-11-23,null,null,null,null,null,null
1988-11-24,null,null,null,null,null,null
1988-11-25,null,null,null,null,null,null
1988-11-28,null,null,null,null,null,null
1988-11-29,null,null,null,null,null,null
1988-11-30,1428.000000,1428.000000,1428.000000,1428.000000,1428.000000,0
1988-12-01,null,null,null,null,null,null
1988-12-02,null,null,null,null,null,null
1988-12-05,null,null,null,null,null,null
1988-12-06,null,null,null,null,null,null
1988-12-07,null,null,null,null,null,null
1988-12-08,null,null,null,null,null,null
1988-12-09,null,null,null,null,null,null
1988-12-12,null,null,null,null,null,null
1988-12-13,null,null,null,null,null,null
1988-12-14,1406.599976,1406.599976,1406.599976,1406.599976,1406.599976,0
1988-12-15,1393.400024,1393.400024,1393.400024,1393.400024,1393.400024,0
1988-12-16,1395.500000,1395.500000,1395.500000,1395.500000,1395.500000,0
1988-12-19,1392.400024,1392.400024,1392.400024,1392.400024,1392.400024,0
1988-12-20,1403.900024,1403.900024,1403.900024,1403.900024,1403.900024,0
1988-12-21,1403.800049,1403.800049,1403.800049,1403.800049,1403.800049,0
1988-12-22,1403.099976,1403.099976,1403.099976,1403.099976,1403.099976,0
1988-12-23,1406.400024,1406.400024,1406.400024,1406.400024,1406.400024,0
1988-12-26,1406.400024,1406.400024,1406.400024,1406.400024,1406.400024,0
1988-12-27,1406.400024,1406.400024,1406.400024,1406.400024,1406.400024,0
1988-12-28,1425.300049,1425.300049,1425.300049,1425.300049,1425.300049,0
1988-12-29,1435.400024,1435.400024,1435.400024,1435.400024,1435.400024,0
1988-12-30,1435.400024,1435.400024,1435.400024,1435.400024,1435.400024,0
1989-01-02,1435.400024,1435.400024,1435.400024,1435.400024,1435.400024,0
1989-01-03,1466.199951,1466.199951,1466.199951,1466.199951,1466.199951,0
1989-01-04,1471.199951,1471.199951,1471.199951,1471.199951,1471.199951,0
1989-01-05,1488.099976,1488.099976,1488.099976,1488.099976,1488.099976,0
1989-01-06,1487.300049,1487.300049,1487.300049,1487.300049,1487.300049,0
1989-01-09,1493.500000,1493.500000,1493.500000,1493.500000,1493.500000,0
1989-01-10,1490.800049,1490.800049,1490.800049,1490.800049,1490.800049,0
1989-01-11,1488.599976,1488.599976,1488.599976,1488.599976,1488.599976,0
1989-01-12,1499.900024,1499.900024,1499.900024,1499.900024,1499.900024,0
1989-01-13,1505.099976,1505.099976,1505.099976,1505.099976,1505.099976,0
1989-01-16,1505.300049,1505.300049,1505.300049,1505.300049,1505.300049,0
1989-01-17,1486.500000,1486.500000,1486.500000,1486.500000,1486.500000,0
1989-01-18,1485.699951,1485.699951,1485.699951,1485.699951,1485.699951,0
1989-01-19,1481.099976,1481.099976,1481.099976,1481.099976,1481.099976,0
1989-01-20,1476.500000,1476.500000,1476.500000,1476.500000,1476.500000,0
1989-01-23,1482.000000,1482.000000,1482.000000,1482.000000,1482.000000,0
1989-01-24,1488.699951,1488.699951,1488.699951,1488.699951,1488.699951,0
1989-01-25,1502.300049,1502.300049,1502.300049,1502.300049,1502.300049,0
1989-01-26,1500.699951,1500.699951,1500.699951,1500.699951,1500.699951,0
1989-01-27,1499.800049,1499.800049,1499.800049,1499.800049,1499.800049,0
1989-01-30,1498.300049,1498.300049,1498.300049,1498.300049,1498.300049,0
1989-01-31,1490.500000,1490.500000,1490.500000,1490.500000,1490.500000,0
1989-02-01,1482.300049,1482.300049,1482.300049,1482.300049,1482.300049,0
1989-02-02,1474.099976,1474.099976,1474.099976,1474.099976,1474.099976,0
1989-02-03,1473.800049,1473.800049,1473.800049,1473.800049,1473.800049,0
1989-02-06,1484.900024,1484.900024,1484.900024,1484.900024,1484.900024,0
1989-02-07,1483.900024,1483.900024,1483.900024,1483.900024,1483.900024,0
1989-02-08,1493.199951,1493.199951,1493.199951,1493.199951,1493.199951,0
1989-02-09,1489.900024,1489.900024,1489.900024,1489.900024,1489.900024,0
1989-02-10,1489.699951,1489.699951,1489.699951,1489.699951,1489.699951,0
1989-02-13,1481.199951,1481.199951,1481.199951,1481.199951,1481.199951,0
1989-02-14,1478.400024,1478.400024,1478.400024,1478.400024,1478.400024,0
1989-02-15,1481.300049,1481.300049,1481.300049,1481.300049,1481.300049,0
1989-02-16,1490.500000,1490.500000,1490.500000,1490.500000,1490.500000,0
1989-02-17,1489.400024,1489.400024,1489.400024,1489.400024,1489.400024,0
